wAoI,wAoI_std,mean_power,max_avg_power,max_queue,max_prefix_violation,mean_model_entropy,feasible_all_seeds,certificate_all_seeds,policy,qcap
3810.253243243243,411.16262246523695,0.06836704857479271,0.2790194444430022,0.49925055517671885,0.07605590691890102,0.817962431119381,True,True,Bayes-FreshSky-Safe,0.5
2303.7095135135132,297.5426839400203,0.12642632148759742,0.2804229441528912,0.9976176685788198,0.5956677495119537,0.6507050539808585,True,True,Bayes-FreshSky-Safe,1.0
781.0108108108108,259.41265146633884,0.19143297029457282,0.29824672539719443,1.9997956753057293,1.5523427123895253,0.5682798592985558,True,True,Bayes-FreshSky-Safe,2.0
427.9410810810811,23.4664520583319,0.21599491376618424,0.326512719452457,3.9999502716367568,3.586237847056404,0.5531528074536113,True,True,Bayes-FreshSky-Safe,4.0
384.5735135135135,25.049000083561577,0.226130743021542,0.38602868302983634,45.67325570249384,41.431306791536784,0.5608176528036182,True,True,Bayes-FreshSky,
368.00475675675676,27.052610586407546,0.23854970248132218,0.4969148973813004,562.7388656735942,558.7388656735873,0.5485515460089136,False,True,Bayes-Aggregate-DPP,
376.61324324324323,20.51244700339778,0.26398253035234803,0.6941668978460079,1410.4169398897802,1409.6169398898044,,False,True,TS-DPP adapted,
372.7225945945946,21.87597822552385,0.22524573060419165,0.38205413283588385,72.43497434286306,56.96314142099654,,True,True,FreshSky-B oracle,
342.20400000000006,21.507004892303023,0.2749679986001107,0.8309304129236932,2226.8130337113416,2226.4130337113584,,False,True,Wang'26 oracle,
401.79924324324327,24.92758061881797,0.25311850944716024,0.44285963217670676,337.9723257322178,337.17232573221764,,False,True,Memoryless,
