policy,age_mode,extra_delay,seed,wAoI,age_mae,age_bias,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
Expected-AoI Bayes-Safe,expected,1,0,468.58216216216215,1.1237396708482652,-0.00711429108092035,0.2598026151815975,0.40008147580323644,23.997220469610856,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,1,1,489.17324324324323,1.1232862558182621,0.015970570154547968,0.2546572032659566,0.39971416277961047,23.997178848816354,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,1,2,363.43432432432434,1.0123901017434833,-0.0020357548263514025,0.21271640865849914,0.3897736582926757,23.997267035753424,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,1,3,425.2137837837838,1.0260217503816786,0.004643497488403468,0.22321185774172192,0.39772772248461163,23.999582564744674,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,1,4,342.87054054054056,1.071154672083241,-0.002912213705554889,0.2036835313949837,0.3786134530637784,23.996370870076603,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,0,489.6164864864865,2.146272695115438,-0.09673531620548066,0.2607620372936833,0.40120058482646226,23.997220469611026,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,1,488.87864864864866,2.1433829160081026,-0.08439485278887729,0.2555500880029598,0.3996509605735945,23.9981236009428,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,2,374.2775675675676,1.9156732079967305,-0.11852361442935888,0.2142728353194808,0.39100907400834184,23.997267035753424,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,3,410.63216216216216,1.9251894447696054,-0.06430844567123381,0.22373715212169443,0.398263743673944,23.99585570759023,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,4,348.8637837837838,2.004402888177598,-0.12027952658096104,0.20511070223570296,0.3883967464245992,23.99637087007667,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,0,484.11432432432434,3.5467482632394343,-0.238831831127294,0.2619390553834136,0.40097767083022173,23.9999869005956,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,1,487.1575675675676,3.6268784520411907,-0.2677152233592137,0.25710407449102096,0.40250153803845606,23.997178848816354,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,2,392.1654054054054,3.1912075686846584,-0.3323723602294951,0.21456762183937994,0.39347990543967415,23.994534071506855,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,3,441.5362162162162,3.2805791685896053,-0.1916580384114583,0.22391230518430152,0.398638897608403,23.99077128899404,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,4,355.9581081081081,3.372910423016184,-0.37510739966994067,0.20530112493491948,0.3908425697648044,23.9963708700767,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,0,516.7402702702702,5.439052005609629,-0.4788140077846087,0.2624259538480478,0.40176013933807514,23.991957560905803,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,1,512.3197297297297,5.625639645002594,-0.605711571676545,0.25814710527467377,0.40079119155953913,23.995835731534434,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,2,363.4597297297297,4.460740369025557,-0.47248963254224813,0.21455039949644691,0.39965698401800503,23.994468613622075,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,3,446.12135135135134,4.88346129134081,-0.4599090470833582,0.22433699937077564,0.4020158919992707,23.995878970711992,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,4,366.51594594594593,4.8491863991294295,-0.6915016860319239,0.20537104425961383,0.3893750757606813,23.978225220459954,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,1,0,496.41675675675674,1.1134760182692098,0.007417162900185792,0.264672452998313,0.4034388028729139,23.999481339771005,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,1,1,450.6818918918919,1.105549179525518,0.025505061683421655,0.25888655511412567,0.40136130705251144,23.999629921777107,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,1,2,389.70864864864865,1.0195533934057086,-0.0057500413388541045,0.21748525259212603,0.3978038604445058,23.99872826134131,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,1,3,424.36297297297295,1.0154200168352019,0.00984423038678733,0.2262862159098634,0.40040782843127354,23.999165129491082,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,1,4,367.91972972972974,1.0772964642677951,-0.006253034173560857,0.20633772680276077,0.3923100637689275,23.995251080985703,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,0,507.3554054054054,2.0966778207960197,-0.045949954266510294,0.2652871521230303,0.4034388028729139,23.999481339771187,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,1,479.0289189189189,2.1298692575078726,-0.05873813560250549,0.2598346117672417,0.4014724362229226,23.998592687482358,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,2,385.4081081081081,1.882588163748778,-0.0723864465315436,0.21820626763596238,0.39762180179665174,23.99872826134136,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,3,455.59,1.9326756142701709,-0.04949839325559563,0.22650654468750075,0.4036239555672678,23.999582564745534,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,4,366.5327027027027,2.065890641702715,-0.1416802174034476,0.20754954858378125,0.39720171044933794,23.996370870076614,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,4,0,527.9064864864865,3.6597617567938574,-0.19776474398568752,0.26672338484602903,0.40455791189613965,23.999986900596085,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,4,1,500.8735135135135,3.7372812109888276,-0.2234093775938381,0.26069874497244566,0.40250153803845606,23.99962992177709,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,4,2,388.76864864864865,3.200706694775715,-0.2625294065755036,0.21852595333778,0.3978038604445058,23.99872826134133,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,4,3,455.0743243243243,3.3585947610717217,-0.1972088257002864,0.22673930375241932,0.40040782843127354,23.999582564745356,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,4,4,362.0451351351351,3.404106358619122,-0.35935496514838,0.20743287906810493,0.3991583691215021,23.99971665785284,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,8,0,529.6740540540541,5.7372495615894605,-0.36713713580907475,0.26599008032189153,0.40287924836130096,23.999960701788925,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,8,1,511.61918918918917,5.819123362901879,-0.44120010201999577,0.26076919352398215,0.4036417690244007,23.999629921777164,0.4064864864864865,True,True
