policy,extra_delay,wAoI,wAoI_std,age_mae,age_bias,max_avg_power,max_queue,finite_window_bound,bound_all_seeds,certificate_all_seeds
Expected-AoI Bayes-Safe,1,417.8548108108108,63.83174680429521,1.0713184901749861,0.0017103616060249588,0.39318209448478253,23.999582564744674,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,2,422.45372972972973,64.80601429132365,2.0269842304134946,-0.09684835113518234,0.3957042219013884,23.9981236009428,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,4,432.18632432432435,57.485194060555244,3.4036647751142146,-0.28113697055948034,0.3972881163363119,23.9999869005956,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,8,441.03140540540534,74.84932117163059,5.051615942021604,-0.5416851890237367,0.39871985653511427,23.995878970711992,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,1,425.81800000000004,50.64733367751298,1.0662590144606867,0.006152675891595963,0.39906437251402643,23.999629921777107,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,2,438.78302702702706,60.56684027941117,2.0215402996051113,-0.07365062941192052,0.40067174138181877,23.999582564745534,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,4,446.9336216216217,70.92532523918999,3.472090156449849,-0.24805346380073914,0.4008859015863754,23.999986900596085,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,8,447.5364864864865,73.48838973187188,5.208177955595685,-0.44211941931580523,0.40171253402980367,23.999960701788925,0.4064864864864865,True,True
Zhu'26-style Expected-AoI Aggregate-DPP,1,369.4425945945946,35.34260772293713,1.1021608317830458,-0.01819883052128763,0.5779232780148005,972.8242330945087,0.4064864864864865,False,False
Zhu'26-style Expected-AoI Aggregate-DPP,2,378.03675675675674,38.62923951500559,2.0532939843864177,-0.1469939185026515,0.5907853170883847,993.6309341765838,0.4064864864864865,False,False
Zhu'26-style Expected-AoI Aggregate-DPP,4,386.6611891891892,38.96789705933814,3.383849162450666,-0.3727690887805591,0.60405413131739,1018.3828539204769,0.4064864864864865,False,False
Zhu'26-style Expected-AoI Aggregate-DPP,8,394.4892972972973,44.53192466260941,4.806415865587541,-0.643068433190237,0.6100567822429465,1067.610315801713,0.4064864864864865,False,False
