policy,age_mode,extra_delay,seed,wAoI,age_mae,age_bias,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
Expected-AoI Bayes-Safe,expected,2,0,489.6164864864865,2.146272695115438,-0.09673531620548062,0.2607620372936833,0.40120058482646226,23.997220469611026,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,1,488.87864864864866,2.1433829160081026,-0.08439485278887728,0.2555500880029598,0.3996509605735945,23.9981236009428,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,2,374.2775675675676,1.9156732079967305,-0.11852361442935891,0.2142728353194808,0.39100907400834184,23.997267035753424,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,3,410.63216216216216,1.9251894447696054,-0.06430844567123378,0.22373715212169443,0.398263743673944,23.99585570759023,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,4,348.8637837837838,2.004402888177598,-0.12027952658096103,0.20511070223570296,0.3883967464245992,23.99637087007667,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,5,465.0878378378378,1.8693730287331431,-0.037512002874311445,0.22397169103250425,0.39471209788071415,23.997127665555023,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,6,539.311081081081,2.358260960210524,-0.13863439592946353,0.27473161101028915,0.39502810469657307,23.999457921129668,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,7,420.44243243243244,2.0657699624768746,-0.10117134919540195,0.23646321786096533,0.38659636896594307,23.998232247353073,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,8,446.77216216216215,2.223156571022842,-0.15060470123200145,0.24540904102593575,0.3888163982057066,23.994459724127694,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,9,531.4851351351351,2.389803748607721,-0.12078046169545069,0.2966690737909575,0.39717140183370087,23.99966389717499,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,10,505.2094594594595,2.250666014948635,-0.13044348357278956,0.26539745690006455,0.4004817291666642,23.997476455201575,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,11,373.2497297297297,2.0127226778088776,-0.1238998170047103,0.20199510274733354,0.3825747357009715,23.99557005321385,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,12,390.9591891891892,1.9532213287105997,-0.09613821569361046,0.21659255065694485,0.3871972742694728,23.995002665419676,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,13,539.4654054054054,2.6286663070817964,-0.18704863589118703,0.2967516308444472,0.39474494335074944,23.995276507644753,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,14,429.85972972972974,2.449848244616295,-0.19591303496005769,0.25179024575018744,0.3823565888920183,23.99731634279585,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,15,521.1372972972973,2.4496052437325773,-0.15831052353790726,0.2833832807995574,0.39659163655649515,23.996020094204045,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,16,435.5067567567568,2.212969717432736,-0.16786985206957072,0.23878490111799047,0.39090811708723705,23.99840840267737,0.4064864864864865,True,True
