city,policy,seed,wAoI,mean_power,max_avg_power,max_queue,feasible,certificate_ok
Manhattan,Bayes-FreshSky-Safe,0,2846.0558823529414,0.39460152417738503,0.40654322139658633,23.999939466840416,True,True
Manhattan,Bayes-FreshSky-Safe,1,3019.002941176471,0.3940528075129354,0.40474920148734084,23.99960824724558,True,True
Manhattan,Bayes-FreshSky-Safe,2,2809.160588235294,0.39605653891213355,0.4070022852570216,23.99997028122549,True,True
Manhattan,Bayes-FreshSky-Safe,3,2780.3888235294116,0.39599176183068024,0.40853569719977484,23.99987608671508,False,True
Manhattan,Bayes-FreshSky-Safe,4,2755.8576470588237,0.39604844578263704,0.4058392180434204,23.999831684179558,True,True
Manhattan,Bayes-FreshSky,0,2770.204117647059,0.39643684602860957,0.4123590610231872,78.54547799391746,False,True
Manhattan,Bayes-FreshSky,1,2913.315882352941,0.3947580420791985,0.41677311131711203,70.49259839187124,False,True
Manhattan,Bayes-FreshSky,2,2838.4470588235295,0.39846204821217174,0.4184044372289655,78.49694243807077,False,True
Manhattan,Bayes-FreshSky,3,3016.8441176470587,0.39810943895209266,0.4203486200501405,72.5854891915339,False,True
Manhattan,Bayes-FreshSky,4,2767.09,0.3991579442060121,0.4202249742413678,70.00897319192073,False,True
Manhattan,Bayes-Aggregate-DPP,0,2901.4435294117648,0.40024977134886547,0.47894189053244807,197.3362142618443,False,True
Manhattan,Bayes-Aggregate-DPP,1,2776.814117647059,0.39967089823699825,0.5351469395242335,248.88661904962424,False,True
Manhattan,Bayes-Aggregate-DPP,2,2785.224117647059,0.40066816200746813,0.44555936762110754,128.14197016107823,False,True
Manhattan,Bayes-Aggregate-DPP,3,2802.3564705882354,0.39986568543477424,0.4643133131467469,136.43041104325837,False,True
Manhattan,Bayes-Aggregate-DPP,4,2902.1423529411763,0.3998882907828045,0.46974721071092806,157.17507814703552,False,True
Manhattan,TS-DPP adapted,0,3271.616470588235,0.39725803812272176,0.7117813711501153,674.3483344848873,False,True
Manhattan,TS-DPP adapted,1,3159.570588235294,0.3971506436266019,0.7947433791073908,836.8770375290226,False,True
Manhattan,TS-DPP adapted,2,2699.0741176470588,0.3979636354017919,0.5605680067428286,481.4280924766805,False,True
Manhattan,TS-DPP adapted,3,3179.21,0.39275977299411036,0.7094201170013382,596.7036053739374,False,True
Manhattan,TS-DPP adapted,4,3362.8776470588236,0.3927757868941921,0.7597568966393833,760.588542127673,False,True
Manhattan,FreshSky-B fixed-GE,0,2732.926470588235,0.41875681802518244,0.4795870349210594,292.3598058765024,False,True
Manhattan,FreshSky-B fixed-GE,1,2763.073529411765,0.4325969331498376,0.4997815093496145,332.2086009800827,False,True
Manhattan,FreshSky-B fixed-GE,2,2930.5970588235296,0.43028438989817747,0.48602514486207404,292.4287973567254,False,True
Manhattan,FreshSky-B fixed-GE,3,2924.1829411764706,0.424813522872919,0.5062271168524212,293.1624091803995,False,True
Manhattan,FreshSky-B fixed-GE,4,2941.0311764705884,0.4221927615551249,0.48974019312448097,256.44442542971143,False,True
Manhattan,Wang'26 fixed-GE,0,2317.0970588235296,0.9435124187759781,1.8882988898316155,4138.45305786115,False,True
Manhattan,Wang'26 fixed-GE,1,2552.3164705882355,0.9802271300051734,2.0693848550867924,4334.345859137344,False,True
Manhattan,Wang'26 fixed-GE,2,2313.745882352941,0.9506634019185608,1.9097841763036556,3469.8489911805927,False,True
Manhattan,Wang'26 fixed-GE,3,2525.351176470588,0.9747834843257795,2.1581203291779683,4083.7976309874434,False,True
Manhattan,Wang'26 fixed-GE,4,2442.83,0.9636212744478535,2.1085940380603296,4401.678675921906,False,True
Manhattan,Memoryless,0,2710.7229411764706,0.6504799366758031,0.7993664413525332,972.7677425065742,False,True
Manhattan,Memoryless,1,2913.990588235294,0.6387550596851518,0.8768487776895258,989.8519388949393,False,True
Manhattan,Memoryless,2,2686.0317647058823,0.6441490070101327,0.8613085790214486,993.4567406915526,False,True
Manhattan,Memoryless,3,2746.5388235294117,0.6371344995359257,0.8090260109364337,1047.0770011728725,False,True
Manhattan,Memoryless,4,2711.52,0.6473556950019893,0.8191650148192983,1012.7807960047521,False,True
London,Bayes-FreshSky-Safe,0,2875.720588235294,0.3978336260593229,0.4131891687611109,23.999904404697997,False,True
London,Bayes-FreshSky-Safe,1,2851.309411764706,0.3969464343944143,0.41302777618175207,23.999929067165333,False,True
London,Bayes-FreshSky-Safe,2,2872.275882352941,0.39670598739626456,0.41124200598002075,23.999644855564995,False,True
London,Bayes-FreshSky-Safe,3,2828.070588235294,0.3959088166456752,0.41249352926785543,23.999237753566135,False,True
London,Bayes-FreshSky-Safe,4,2880.0435294117647,0.3973056642588746,0.41161320337774815,23.999686423435268,False,True
London,Bayes-FreshSky,0,2969.4029411764704,0.4006660312356917,0.4226058302294413,58.51681572264208,False,True
London,Bayes-FreshSky,1,2853.1588235294116,0.3995350269931826,0.4129314875514633,60.091594143457684,False,True
