quantile,good_fraction,extra_delay,age_mode,policy,seed,wAoI,age_mae,age_bias,p95_slot_aoi,p99_slot_aoi,cvar95_slot_aoi,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,0,534.5515555555555,3.9894259259259313,3.9894259259259313,56.0,89.0,74.89111111111112,0.38770319348756216,23.999305069116946,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,1,507.3091111111111,3.9972037037036925,3.9972037037036925,55.0,89.0,74.77518518518518,0.39996072322777365,23.999700203269896,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,2,520.2548888888889,4.0127407407407425,4.0127407407407425,53.0,88.0,73.35962962962962,0.39814447936278907,23.998624572084974,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,3,551.3857777777778,3.9944814814814746,3.9944814814814746,56.0,91.0,76.27185185185185,0.39889400880609954,23.99923241751943,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,4,539.3755555555556,4.001555555555565,4.001555555555565,54.0,87.0,73.54296296296296,0.39842121825213317,23.99899563060363,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,5,557.9757777777778,4.002777777777776,4.002777777777776,55.0,89.0,74.77703703703703,0.398646733048472,23.999584316425718,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,6,559.0575555555556,4.0093148148148074,4.0093148148148074,57.0,93.0,77.53,0.39660474319517347,23.997624126116808,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,7,542.3082222222222,4.004666666666675,4.004666666666675,56.0,92.0,76.70962962962963,0.39525569796576937,23.982876599734805,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,8,513.3248888888888,3.9885555555555605,3.9885555555555605,53.0,86.0,72.32703703703703,0.4015853842104394,23.999920169140772,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,9,537.9786666666666,4.003777777777782,4.003777777777782,56.0,89.0,75.29703703703704,0.4003699772813924,23.999396789337933,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,10,555.1966666666667,4.0131481481481455,4.0131481481481455,57.0,93.0,78.59592592592593,0.3959063059197843,23.99420401491263,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,11,530.8304444444444,4.008037037037041,4.008037037037041,56.0,90.0,75.6237037037037,0.3966469022926437,23.993029707108224,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,12,528.5971111111111,4.004314814814815,4.004314814814815,55.0,90.0,75.88703703703703,0.39686779847692316,23.999766081021022,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,13,563.4884444444444,3.9974444444444455,3.9974444444444455,60.0,94.0,80.68888888888888,0.3974163862941506,23.99897803900451,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,14,527.6548888888889,3.9993148148148205,3.9993148148148205,55.0,89.0,75.02703703703703,0.4001271776940165,23.999493918731513,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,15,530.8602222222222,3.9987777777777866,3.9987777777777866,56.0,91.0,76.34555555555555,0.4022463396121335,23.999024980401586,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,16,574.8053333333334,3.9969444444444484,3.9969444444444484,60.0,94.0,81.26962962962963,0.3961936405643843,23.995735688595406,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,17,547.5315555555555,3.9875370370370455,3.9875370370370455,55.0,94.0,78.28296296296297,0.39663590693932893,23.999163054315552,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,18,557.0322222222222,4.009537037037024,4.009537037037024,56.0,89.0,75.47592592592592,0.39344296540772183,23.989954227615435,0.4053333333333334,True,True
0.25,0.7497621313035204,4,conservative,Conservative-AoI Bayes-Safe,19,566.8411111111111,3.9942037037037195,3.9942037037037195,57.0,91.0,76.4962962962963,0.39941904506400144,23.99816162817865,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,0,383.6068888888889,3.0741639497783186,-0.3013719353608436,44.0,77.0,63.02185185185185,0.38770319348756216,23.997629132840625,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,1,397.8135555555556,3.080869501204663,-0.2426777312546287,48.0,83.0,68.18074074074075,0.4004835477025812,23.99970020326981,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,2,400.0833333333333,3.0970456944316553,-0.29454666317642914,47.0,82.0,66.75740740740741,0.39814447936278907,23.989836541776086,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,3,397.9406666666667,3.144505180114516,-0.3633966351533567,45.0,78.0,64.10444444444444,0.39274990677472604,23.99391913312804,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,4,397.42266666666666,3.1210891055377536,-0.2983844605615727,44.0,80.0,65.06592592592592,0.39877090073927324,23.99899563060359,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,5,417.8955555555556,3.155927443265329,-0.40330105328762933,48.0,84.0,68.6237037037037,0.39818746261869264,23.98176072791878,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,6,395.3664444444444,3.0949707026814504,-0.29208677813910094,44.0,77.0,63.25333333333333,0.39316455335333195,23.997545175538946,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,7,385.4915555555556,3.117248853201156,-0.2985265310694089,43.0,76.0,62.11259259259259,0.39577237208075733,23.993311177761942,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,8,398.91866666666664,3.058516924423957,-0.28548515213618,46.0,83.0,66.8962962962963,0.39919499501871064,23.99984033828132,0.4053333333333334,True,True
