policy,age_mode,extra_delay,seed,wAoI,age_mae,age_bias,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok,sweep,value
Expected-AoI Bayes-Safe,expected,4,0,470.7935135135135,3.611156782563592,-0.25586179924328256,0.2550387821018439,0.3954048330156557,23.99331050414233,0.4064864864864865,True,True,V,2.0
Expected-AoI Bayes-Safe,expected,4,1,472.1197297297297,3.646398179102935,-0.23264447241113118,0.2501782571020348,0.3802670338125356,23.98449408784833,0.4064864864864865,True,True,V,2.0
Expected-AoI Bayes-Safe,expected,4,2,378.18756756756756,3.1903966558247596,-0.2817401200710643,0.21027567933994296,0.3842142875721779,23.997267035753424,0.4064864864864865,True,True,V,2.0
Expected-AoI Bayes-Safe,expected,4,3,424.8235135135135,3.287338189464412,-0.2102506789727436,0.21923441122329554,0.38379117156196985,23.96597946099564,0.4064864864864865,True,True,V,2.0
Expected-AoI Bayes-Safe,expected,4,4,354.26567567567565,3.398169476830445,-0.3525684845740396,0.201755134484538,0.36442767769058826,23.754919218107208,0.4064864864864865,True,True,V,2.0
Expected-AoI Bayes-Safe,expected,4,0,503.20702702702704,3.6159080268182895,-0.27691721317455154,0.26020026276715874,0.39840281226839774,23.99570284006299,0.4064864864864865,True,True,V,4.0
Expected-AoI Bayes-Safe,expected,4,1,476.1083783783784,3.645733928252532,-0.278184836422699,0.25519918653423407,0.39280957465792665,23.990830956663768,0.4064864864864865,True,True,V,4.0
Expected-AoI Bayes-Safe,expected,4,2,377.64216216216215,3.2256028322783523,-0.31378926543885766,0.21361783991712205,0.3965684447288396,23.99446861362193,0.4064864864864865,True,True,V,4.0
Expected-AoI Bayes-Safe,expected,4,3,447.74594594594595,3.2983946869147363,-0.19802995525351524,0.22242063571037743,0.3945115953486174,23.985567578540234,0.4064864864864865,True,True,V,4.0
Expected-AoI Bayes-Safe,expected,4,4,359.6916216216216,3.3830710837846705,-0.35292735735447817,0.20370699712783222,0.37714595905965526,23.99637087007675,0.4064864864864865,True,True,V,4.0
Expected-AoI Bayes-Safe,expected,4,0,500.12945945945944,3.639172238064371,-0.27989807884482776,0.26227193135256405,0.3974186974204859,23.99783224446067,0.4064864864864865,True,True,V,6.0
