policy,wAoI,wAoI_std,power,max_power,feasible
Genie (knows LoS),238.1508648648649,16.579256195311462,0.18574011436884125,0.2416708990562367,True
Belief-Whittle (ours),356.244,24.438912827794304,0.23546666632024865,0.47683943834895215,True
Belief-DPP (Zhou'26),354.80118918918913,23.67896344304443,0.23665491245407916,0.5039822681560092,True
TS-DPP adapted (Zhou'26),375.95735135135135,28.15996658933807,0.26431602846994195,0.6804069178136405,True
Memoryless (no belief),385.7727027027027,31.130739206141882,0.2960914147436898,0.8238677094975311,True
