seed,wAoI,mean_power,max_avg_power,max_queue,max_prefix_violation,mean_model_entropy,feasible,certificate_ok,policy,qcap
0,4466.486486486487,0.04039928059673293,0.25302732923855836,0.4635280758444918,0.06352807584449177,0.8904034315800053,True,True,Bayes-FreshSky-Safe,0.5
1,3507.0786486486486,0.08183204290894121,0.26182847441071433,0.3724180204179378,0.0,0.7910398198406243,True,True,Bayes-FreshSky-Safe,0.5
2,3965.4372972972974,0.06842609305763796,0.32259776806449153,0.47605590691890104,0.07605590691890102,0.839465591710449,True,True,Bayes-FreshSky-Safe,0.5
3,3541.563243243243,0.0747392748356442,0.27510065887410384,0.4780177725223424,0.0,0.7852454583578531,True,True,Bayes-FreshSky-Safe,0.5
4,3570.7005405405407,0.07643855147500729,0.28254299162714297,0.49925055517671885,0.0025448860301722775,0.7836578541079732,True,True,Bayes-FreshSky-Safe,0.5
0,2327.9437837837836,0.15117999259196754,0.31234174938390086,0.9976176685788198,0.5956677495119537,0.6555313276279869,True,True,Bayes-FreshSky-Safe,1.0
1,2690.0194594594595,0.10235282759020757,0.2670435455683741,0.9568863825208115,0.22614773042013525,0.6953673259638147,True,True,Bayes-FreshSky-Safe,1.0
2,2327.277297297297,0.1388019653488816,0.28815848439689173,0.9925454235887752,0.5339673742802427,0.6550108204704151,True,True,Bayes-FreshSky-Safe,1.0
3,1852.642972972973,0.13254573457009933,0.2763526326503322,0.9461244076563964,0.5231633201164977,0.6168534841178059,True,True,Bayes-FreshSky-Safe,1.0
4,2320.664054054054,0.10725108733683103,0.258218308764957,0.9835743090771575,0.31566123028489124,0.6307623117242702,True,True,Bayes-FreshSky-Safe,1.0
0,790.3367567567568,0.2067323557172421,0.30541300949859856,1.9997956753057293,1.5523427123895253,0.5746897257694169,True,True,Bayes-FreshSky-Safe,2.0
1,402.6418918918919,0.20064112097589634,0.2982893694317166,1.9942903611722593,1.5299944066168174,0.549843923905065,True,True,Bayes-FreshSky-Safe,2.0
2,818.052972972973,0.20768487064597993,0.29368255792921316,1.997505580514363,1.209510614203639,0.5875607672694787,True,True,Bayes-FreshSky-Safe,2.0
3,760.6710810810811,0.18045906455685176,0.2824245306510556,1.9810552189991917,1.0158166005824882,0.5654433709102726,True,True,Bayes-FreshSky-Safe,2.0
4,1133.3513513513512,0.16164743957689393,0.3114241594753882,1.9993458840675378,1.402213758262095,0.563861508638546,True,True,Bayes-FreshSky-Safe,2.0
0,426.48621621621623,0.22758204395571388,0.3322362492182326,3.9999502716367568,3.526112915853257,0.5503177580962653,True,True,Bayes-FreshSky-Safe,4.0
1,390.33486486486487,0.20711324093141326,0.3207041775393019,3.99429036117226,2.3744990382757534,0.5564992514178339,True,True,Bayes-FreshSky-Safe,4.0
2,454.27027027027026,0.2336403305224538,0.33525490557569226,3.9987264368969324,3.2095106142036407,0.5705466904822073,True,True,Bayes-FreshSky-Safe,4.0
3,436.7643243243243,0.20482088700283033,0.31295718178584686,3.9874419045847023,1.9661947387397107,0.5613199974994781,True,True,Bayes-FreshSky-Safe,4.0
4,431.84972972972975,0.20681806641850994,0.33141108314321155,3.999345884067538,3.586237847056404,0.527080339772272,True,True,Bayes-FreshSky-Safe,4.0
0,417.8602702702703,0.23523687754378605,0.3845170803134852,37.38982836405978,12.842371273044806,0.5706335239913415,True,True,Bayes-FreshSky,
1,354.59864864864863,0.2161016592073803,0.366342883706904,33.76008399765144,22.339800229365135,0.5656621358193884,True,True,Bayes-FreshSky,
2,396.2275675675676,0.2442231333836924,0.3976135528374699,42.114730437793895,27.80071266183974,0.5721876973628833,True,True,Bayes-FreshSky,
3,365.78783783783786,0.2140095190232146,0.3907407143462125,45.663663094019924,12.14348857063114,0.5516146170914872,True,True,Bayes-FreshSky,
4,388.39324324324326,0.2210825259496365,0.39092918394510984,45.67325570249384,41.431306791536784,0.5439902897529911,True,True,Bayes-FreshSky,
0,407.91297297297297,0.24571995029570506,0.4913273804005604,353.1916456349733,341.03082014414156,0.5677016090716939,False,True,Bayes-Aggregate-DPP,
1,337.75054054054056,0.2241393579719669,0.44193744701150073,230.98883771082407,223.74827017425758,0.5521111630595263,False,True,Bayes-Aggregate-DPP,
2,379.95702702702704,0.2587825079466781,0.5340616819944289,562.7388656735942,558.7388656735873,0.5556481760783873,False,True,Bayes-Aggregate-DPP,
3,352.5583783783784,0.22612225538420297,0.5147082193642952,448.268841886015,440.2437256951858,0.5429840635418334,False,True,Bayes-Aggregate-DPP,
4,361.84486486486486,0.2379844408080577,0.5025397581357164,429.47800869853415,428.6780086985338,0.5243127182931269,False,True,Bayes-Aggregate-DPP,
0,406.08324324324326,0.2578136305406973,0.6189375810309153,861.0284331827761,842.7084232370894,,False,True,TS-DPP adapted,
1,360.22513513513513,0.25645925487492366,0.7427298003004427,1410.4169398897802,1409.6169398898044,,False,True,TS-DPP adapted,
2,389.6056756756757,0.2860233148844684,0.7365729325079065,1381.923094552404,1381.1230945523569,,False,True,TS-DPP adapted,
3,367.8918918918919,0.2508001905283674,0.6380680405342503,1021.0759366409865,1014.2759366409866,,False,True,TS-DPP adapted,
4,359.26027027027027,0.2688162609332834,0.7345261348565251,1348.3661129640886,1347.5661129640885,,False,True,TS-DPP adapted,
0,399.8608108108108,0.2355713273788509,0.37901802274238805,55.75943309665918,27.389828364059756,,True,True,FreshSky-B oracle,
1,350.06432432432433,0.2151372202236963,0.3615851839185028,61.814608402563344,9.086625648523327,,True,True,FreshSky-B oracle,
2,391.35297297297296,0.2422275230807037,0.3969961404883434,72.43497434286306,53.871767635195084,,True,True,FreshSky-B oracle,
3,356.1564864864865,0.21407144884489993,0.38466387586493395,67.06360618431987,56.96314142099654,,True,True,FreshSky-B oracle,
4,366.1783783783784,0.21922113349280745,0.388007441165251,55.70180016731192,36.31344856433063,,True,True,FreshSky-B oracle,
0,370.1164864864865,0.2738350447131095,0.79545565591168,1609.6646737182973,1609.26467371842,,False,True,Wang'26 oracle,
1,324.06054054054056,0.25084625328905186,0.717884034738789,1263.1890261531355,1262.7890261531286,,False,True,Wang'26 oracle,
2,360.502972972973,0.296830851378271,0.9619284399390606,2226.8130337113416,2226.4130337113584,,False,True,Wang'26 oracle,
3,330.73459459459457,0.26699671309986434,0.8926875728998221,1926.490183060375,1926.0901830603757,,False,True,Wang'26 oracle,
4,325.6054054054054,0.28633113052025677,0.7866963611291138,1584.9097062732433,1584.5097062732432,,False,True,Wang'26 oracle,
0,428.27378378378376,0.2581921122471488,0.4508518982623003,263.11140693880526,251.75137710180545,,False,True,Memoryless,
1,373.91945945945946,0.24792093165097984,0.4366511139132772,291.6126106961968,287.4839296523126,,False,True,Memoryless,
2,424.4656756756757,0.27097453497516294,0.4395975925780727,314.8152462867456,310.81524628674794,,False,True,Memoryless,
3,379.6021621621622,0.24034745841980867,0.42380915124427554,329.0779095136185,322.2779095136181,,False,True,Memoryless,
4,402.7351351351351,0.24815750994270094,0.46338840488560834,337.9723257322178,337.17232573221764,,False,True,Memoryless,
