quantile,threshold_db,good_fraction,fitted_pLL,fitted_pNL,policy,wAoI,wAoI_std,max_avg_power,max_queue,bound_all_seeds,certificate_all_seeds
0.25,-89.41241867615364,0.7497621313035204,0.9606598984771574,0.1183206106870229,Bayes-FreshSky-Safe,395.62226666666663,6.64478921513544,0.3912151246073131,23.998220468455372,True,True
0.25,-89.41241867615364,0.7497621313035204,0.9606598984771574,0.1183206106870229,Bayes-FreshSky,393.12728888888887,9.094344027681561,0.3923317618041512,31.81059051881812,,
0.25,-89.41241867615364,0.7497621313035204,0.9606598984771574,0.1183206106870229,Bayes-Aggregate-DPP,395.69666666666666,9.156376938613617,0.503122810291065,818.6867722638135,,
0.25,-89.41241867615364,0.7497621313035204,0.9606598984771574,0.1183206106870229,TS-DPP adapted,438.8628,10.462884637058512,0.5225841884798721,1247.941289690634,,
0.25,-89.41241867615364,0.7497621313035204,0.9606598984771574,0.1183206106870229,FreshSky-B fitted-GE,375.13319999999993,7.651424146628198,0.38853316829212453,119.08731152153592,,
0.25,-89.41241867615364,0.7497621313035204,0.9606598984771574,0.1183206106870229,Wang'26 fitted-GE,391.3158666666667,5.83146599233444,0.5141615955046874,803.3172872913477,,
0.25,-89.41241867615364,0.7497621313035204,0.9606598984771574,0.1183206106870229,Memoryless,420.4593333333334,12.056604559583624,0.3972166892739174,150.74186434208067,,
0.5,-87.66462295051609,0.5004757373929591,0.9239543726235742,0.07633587786259542,Bayes-FreshSky-Safe,907.5508,20.019513989734715,0.3886180582689292,23.99603731923102,True,True
0.5,-87.66462295051609,0.5004757373929591,0.9239543726235742,0.07633587786259542,Bayes-FreshSky,909.8140444444446,21.551289924672368,0.39176203803671106,44.644313532384004,,
0.5,-87.66462295051609,0.5004757373929591,0.9239543726235742,0.07633587786259542,Bayes-Aggregate-DPP,899.1242222222221,24.28926789426773,0.49588519164076744,695.9748193921438,,
0.5,-87.66462295051609,0.5004757373929591,0.9239543726235742,0.07633587786259542,TS-DPP adapted,925.9436,31.512644073901434,0.4973773272887062,918.4288275516625,,
0.5,-87.66462295051609,0.5004757373929591,0.9239543726235742,0.07633587786259542,FreshSky-B fitted-GE,812.3631555555555,23.678770030515192,0.3849913863574562,113.41830481386619,,
0.5,-87.66462295051609,0.5004757373929591,0.9239543726235742,0.07633587786259542,Wang'26 fitted-GE,818.8855111111111,32.49973348851786,0.4985463376502093,692.0900769059053,,
0.5,-87.66462295051609,0.5004757373929591,0.9239543726235742,0.07633587786259542,Memoryless,969.9349333333333,24.40270853384219,0.4092863874929373,267.6573865735952,,
0.75,-85.99993525439743,0.25023786869647957,0.8859315589353612,0.03811944091486658,Bayes-FreshSky-Safe,2120.0647555555556,75.63012207449137,0.3787910035368857,23.999665246758145,True,True
0.75,-85.99993525439743,0.25023786869647957,0.8859315589353612,0.03811944091486658,Bayes-FreshSky,2067.8091555555557,77.12766342319064,0.38435974246847604,47.17298292671858,,
0.75,-85.99993525439743,0.25023786869647957,0.8859315589353612,0.03811944091486658,Bayes-Aggregate-DPP,2068.774088888889,58.15532327801437,0.5021388360762905,765.3036820986181,,
0.75,-85.99993525439743,0.25023786869647957,0.8859315589353612,0.03811944091486658,TS-DPP adapted,2072.2591111111115,104.44720289347919,0.492767303992031,955.0523726577104,,
0.75,-85.99993525439743,0.25023786869647957,0.8859315589353612,0.03811944091486658,FreshSky-B fitted-GE,1934.9408888888888,57.0478578548499,0.36766513893307395,109.10524693137208,,
0.75,-85.99993525439743,0.25023786869647957,0.8859315589353612,0.03811944091486658,Wang'26 fitted-GE,1926.4039555555555,44.752731427889245,0.4943635588725397,594.8559672680537,,
0.75,-85.99993525439743,0.25023786869647957,0.8859315589353612,0.03811944091486658,Memoryless,2133.5409333333337,97.30242779169512,0.43411382088842565,487.8017991509009,,
