city,policy,wAoI,wAoI_std,mean_power,max_avg_power,max_queue,feasible_all_seeds,certificate_all_seeds
Manhattan,Bayes-FreshSky-Safe,2842.0931764705883,104.45252146177803,0.39535021564315426,0.4065339246768288,23.99997028122549,False,True
Manhattan,Bayes-FreshSky,2861.1802352941177,105.58858086425501,0.3973848638956169,0.4176220407721546,78.54547799391746,False,True
Manhattan,Bayes-Aggregate-DPP,2833.596117647059,62.932144235926664,0.40006856156218207,0.4787417443070929,248.88661904962424,False,True
Manhattan,TS-DPP adapted,3134.469764705882,256.5055989296993,0.39558157540788363,0.7072539541282111,836.8770375290226,False,True
Manhattan,FreshSky-B fixed-GE,2858.3622352941175,101.487015702131,0.42572888510024826,0.49227219982193005,332.2086009800827,False,True
Manhattan,Wang'26 fixed-GE,2430.2681176470587,112.33822734527902,0.962561541894669,2.0268364576920725,4401.678675921906,False,True
Manhattan,Memoryless,2753.760823529412,92.1269595187696,0.6435748395818005,0.833142964763848,1047.0770011728725,False,True
London,Bayes-FreshSky-Safe,2861.4840000000004,21.700113091887147,0.3969401057509103,0.4123131367136974,23.999929067165333,False,True
London,Bayes-FreshSky,2874.8182352941176,88.43814277842378,0.3998303947127191,0.4204709155019584,65.51527623908923,False,True
London,Bayes-Aggregate-DPP,2894.15,51.02519083238169,0.3998384294789489,0.4720427155716398,216.80646033359352,False,True
London,TS-DPP adapted,3217.7787058823533,102.39338956127864,0.39668739289359733,0.7247812968338502,1056.3894360164372,False,True
London,FreshSky-B fixed-GE,2985.7423529411763,97.08952117757782,0.43834228602216657,0.5334450595410729,295.8873687335206,False,True
London,Wang'26 fixed-GE,2646.906705882353,121.93020645344014,0.8537436264118081,1.8142116461985967,2859.1182768606072,False,True
London,Memoryless,2755.8629411764705,108.68012340275182,0.6396307173419393,0.833302100608454,959.4511302952519,False,True
