policy,extra_delay,wAoI,wAoI_std,age_mae,age_bias,max_avg_power,max_queue,bound_all_seeds,certificate_all_seeds
Expected-AoI Bayes-Safe,2,460.05404054054054,70.29169972094549,2.169295718472726,-0.11541587091243588,0.3930410516517307,23.99966389717499,True,True
Expected-AoI Bayes-Safe,4,470.86252702702706,78.77474241887927,3.6614189833017265,-0.3234131770117257,0.39672129238267184,23.9999869005956,True,True
Expected-AoI Bayes-Safe,8,476.5706081081081,75.4984645078707,5.473433235372423,-0.601166511691037,0.39824618251613597,23.999992026264568,True,True
Ji'24-style Expected-AoI Greedy-Safe,2,468.31527027027033,74.00710535529842,2.152077889490819,-0.08544644974179284,0.40060667557518553,23.999925892926175,True,True
Ji'24-style Expected-AoI Greedy-Safe,4,473.9126621621622,76.09867866118137,3.7061638302674083,-0.2698253130561533,0.4012750723593571,23.999987487651296,True,True
Ji'24-style Expected-AoI Greedy-Safe,8,484.37198648648643,80.72525445662949,5.621996822191522,-0.5032875258583882,0.40153345272978525,23.999992026265325,True,True
Zhu'26-style Expected-AoI Aggregate-DPP,2,407.4510675675676,52.713715890510585,2.1914409975420996,-0.16593563478412246,0.5727769402357297,993.6309341765838,False,False
Zhu'26-style Expected-AoI Aggregate-DPP,4,420.1229594594594,54.27156965650126,3.631332628274225,-0.4181590811237116,0.5846750435017108,1018.3828539204769,False,False
Zhu'26-style Expected-AoI Aggregate-DPP,8,431.76363513513513,58.84484393590251,5.239111260709902,-0.7247010090950322,0.5920023234988143,1067.610315801713,False,False
