V,wAoI,Qbacklog,avgpow
1,126.62633928571428,206.95585084564794,1.9348792015656735
2,118.04651785714286,205.96204100382414,1.9390346498420157
5,106.6480357142857,208.2967230739386,1.95890117705021
10,98.36749999999999,210.43855762267856,1.9958377689580045
20,91.39705357142857,216.79359833031057,2.010651920281131
50,84.06,248.49516684918478,2.131905053542701
100,80.15080357142857,293.20727510125187,2.2580557909184
200,76.85741071428572,377.1225695631046,2.411802139494953
500,73.62116071428572,592.7348314102197,2.597027776358609
