V,wAoI,wAoI_std,max_avg_power,Qbacklog,det_latency,peakAoI,energy_ok
50,83.88885714285715,4.1514136499953045,2.1420165203608343,249.86542253719435,2.0579214427813564,14.996357142857144,True
100,79.91678571428571,3.918305295699419,2.2685007225560327,294.27759314274545,1.93328655898699,14.054285714285715,True
200,76.67935714285714,4.30457970850079,2.416000869453147,379.94998779701416,1.9990347774830532,13.334857142857143,True
500,73.65057142857144,4.19899810845348,2.6059581176563786,595.5686902564145,1.919889820428614,12.722285714285714,True
1000,71.69357142857143,4.321876282888236,2.796800860741017,910.4014294788118,1.860464164666751,12.31057142857143,True
2000,70.65764285714286,4.479446824334542,2.957726487961309,1464.4395345468265,1.9056333812260537,12.063285714285715,True
5000,69.88785714285714,4.1963487834360125,3.1851123500413245,2836.112727946319,1.8338321281209211,11.81057142857143,False
