mean_nlos_dwell,pbar,policy,wAoI,wAoI_std,power,max_power,feasible
1.5,0.4,FreshSky-L learned,186.42827027027027,6.906825436051688,0.2386170755576118,0.4034951620923074,False
1.5,0.4,FreshSky-B oracle-transition,182.71275675675673,5.925296164616774,0.2234505690548212,0.3885321038756602,True
1.5,0.4,Belief-DPP oracle-transition,179.9231891891892,5.455845015058796,0.2340182869422276,0.4920691414614956,False
1.5,0.4,TS-DPP adapted learned,180.90194594594593,7.237087850451292,0.26321074579230797,0.6160068690278343,False
1.5,0.4,Wang'26 oracle-transition,253.69713513513517,12.039282630017231,0.2596189544183888,0.6082659252472847,False
1.5,0.4,Memoryless,179.56832432432435,8.084961007922958,0.24098062005296944,0.4080492451886274,False
2.0,0.4,FreshSky-L learned,211.90724324324324,9.688706668221958,0.23829388064218654,0.4044925354598323,False
2.0,0.4,FreshSky-B oracle-transition,209.15297297297298,7.854053186789628,0.22226614084754734,0.3814326152587779,True
2.0,0.4,Belief-DPP oracle-transition,203.91243243243244,7.148461401011619,0.23218619413831795,0.48685747705898574,False
2.0,0.4,TS-DPP adapted learned,203.47362162162162,9.144770587293555,0.26695209516211743,0.6430759886235748,False
2.0,0.4,Wang'26 oracle-transition,243.58081081081082,11.998601718813743,0.2634318960272691,0.6092529980310776,False
2.0,0.4,Memoryless,203.12756756756755,9.184774567556339,0.24300643162563795,0.41209406735487236,False
3.0,0.4,FreshSky-L learned,255.33583783783783,16.121007179564337,0.23585031018413088,0.4016211618224316,False
3.0,0.4,FreshSky-B oracle-transition,249.62135135135136,11.95270063862602,0.22348202910466952,0.374539626367708,True
3.0,0.4,Belief-DPP oracle-transition,244.15097297297297,12.213319604867284,0.23283682420686608,0.47077245910930704,False
3.0,0.4,TS-DPP adapted learned,240.99756756756761,11.169252484350386,0.2688508484847431,0.6829790990957395,False
3.0,0.4,Wang'26 oracle-transition,246.19005405405406,16.209160896949598,0.2788293019342092,0.7313320470528225,False
3.0,0.4,Memoryless,244.14864864864867,12.988980594089385,0.24594687968182044,0.4165995580937982,False
5.0,0.4,FreshSky-L learned,318.6264864864865,22.258373108737587,0.2342212322428172,0.4014870331321105,True
5.0,0.4,FreshSky-B oracle-transition,311.93459459459456,21.76977819414687,0.22476926065553574,0.38211825845008407,True
5.0,0.4,Belief-DPP oracle-transition,298.0507567567567,17.55435480195108,0.2364899075776504,0.5047140343886921,False
5.0,0.4,TS-DPP adapted learned,302.8017837837838,18.40467603091063,0.266487688994894,0.6765344039260396,False
5.0,0.4,Wang'26 oracle-transition,289.52654054054057,14.869407611021463,0.28603894503878396,0.9211929730465919,False
5.0,0.4,Memoryless,314.5672432432433,21.32431418182199,0.24947732398157435,0.4310953174612945,False
8.0,0.4,FreshSky-L learned,396.0788108108108,21.731777231087698,0.23071646326173015,0.39548733005835457,True
8.0,0.4,FreshSky-B oracle-transition,372.7225945945946,21.87597822552385,0.22524573060419248,0.38205413283588385,True
8.0,0.4,Belief-DPP oracle-transition,355.68616216216213,23.14188223428482,0.236839556229764,0.5074687354599097,False
8.0,0.4,TS-DPP adapted learned,376.61324324324323,20.51244700339778,0.2639825303523493,0.6941668978460079,False
8.0,0.4,Wang'26 oracle-transition,342.20400000000006,21.507004892303023,0.27496799860011184,0.8309304129236932,False
8.0,0.4,Memoryless,401.79924324324327,24.92758061881797,0.25311850944716197,0.44285963217670676,False
14.0,0.4,FreshSky-L learned,523.5902702702704,34.64516987901699,0.2284795535997218,0.39260666415753204,True
14.0,0.4,FreshSky-B oracle-transition,474.965945945946,31.629050378837764,0.22478511591525704,0.3762104879247479,True
14.0,0.4,Belief-DPP oracle-transition,454.6824864864865,24.023314874822596,0.23759679690266738,0.4913439170964562,False
14.0,0.4,TS-DPP adapted learned,496.43610810810816,19.95313387074059,0.2630462528761802,0.6677846405646819,False
14.0,0.4,Wang'26 oracle-transition,432.9498918918918,23.638639889421892,0.270685330576018,0.8111180902437203,False
14.0,0.4,Memoryless,536.1544864864865,38.49407305682285,0.2586873905394154,0.4657013109372854,False
20.0,0.4,FreshSky-L learned,632.7463783783784,61.306339505865736,0.223146290835522,0.3932145997542126,True
20.0,0.4,FreshSky-B oracle-transition,551.2661621621621,55.686604312275975,0.22422988821642917,0.3820982694499622,True
20.0,0.4,Belief-DPP oracle-transition,535.2662702702703,50.52986204843666,0.23581726555228708,0.4803160868053212,False
20.0,0.4,TS-DPP adapted learned,609.0875675675676,54.438105728058844,0.26095200610300223,0.6494773667236231,False
20.0,0.4,Wang'26 oracle-transition,538.4199459459459,29.001833766988995,0.26814833588580733,0.792845910729689,False
20.0,0.4,Memoryless,647.2856216216217,58.95111440883732,0.2609628123440813,0.48183239373636655,False
