policy,extra_delay,wAoI,wAoI_std,mean_age_overestimate,max_avg_power,max_queue,finite_window_bound,bound_all_seeds,certificate_all_seeds
Delay-aware Bayes-Safe,0,396.4435675675676,53.065115851045505,0.0,0.3895149120039695,23.99948487133885,0.4064864864864865,True,True
Delay-aware Bayes-Safe,1,460.31335135135134,71.90487197814093,0.9991216216216262,0.38349837218259997,23.999484871338876,0.4064864864864865,True,True
Delay-aware Bayes-Safe,2,512.655945945946,62.96962081409688,1.9986801801801828,0.37458068583606935,23.998681612713394,0.4064864864864865,True,True
Delay-aware Bayes-Safe,4,593.7957297297297,64.19975699847508,3.9838153153153173,0.367774813649478,23.996370870076685,0.4064864864864865,True,True
Delay-aware Bayes-Safe,8,752.2216216216216,61.64571883982134,7.9339594594594605,0.3285083324532546,23.99597878045288,0.4064864864864865,True,True
Delay-aware oracle-Safe,0,398.9847567567568,59.46124244304613,0.0,0.37942029190869664,23.99948487133896,0.4064864864864865,True,True
Delay-aware oracle-Safe,1,452.56335135135134,54.53801045132021,0.9994504504504554,0.36371072638013385,23.999484871338918,0.4064864864864865,True,True
Delay-aware oracle-Safe,2,512.3136216216216,66.17400938731907,1.99559009009009,0.35868076519712455,23.999296343740813,0.4064864864864865,True,True
Delay-aware oracle-Safe,4,590.6474054054054,63.92150502813654,3.986675675675675,0.3320400102846184,23.99780038321559,0.4064864864864865,True,True
Delay-aware oracle-Safe,8,765.0107567567568,66.50860446302192,7.9451036036036085,0.3014799898880153,23.998681612713412,0.4064864864864865,True,True
Delay-naive Bayes-Safe,0,396.4435675675676,53.065115851045505,0.0,0.3895149120039695,23.99948487133885,0.4064864864864865,True,True
Delay-naive Bayes-Safe,1,459.2816756756756,67.22187624274792,0.9983198198198237,0.3766516189326066,23.995415478331974,0.4064864864864865,True,True
Delay-naive Bayes-Safe,2,504.50470270270273,60.60516985272802,1.9958738738738773,0.371917412185121,23.995900553630115,0.4064864864864865,True,True
Delay-naive Bayes-Safe,4,603.3900540540541,74.9188246509878,3.980626126126127,0.35772836142381004,23.995702840062684,0.4064864864864865,True,True
Delay-naive Bayes-Safe,8,767.5727567567567,75.72898675639169,7.921292792792789,0.31700492340703396,23.995978780452877,0.4064864864864865,True,True
