policy,age_mode,extra_delay,wAoI,wAoI_std,age_mae,age_bias,max_avg_power,max_queue,finite_window_bound,bound_all_seeds,certificate_all_seeds
Conservative-AoI Bayes-Safe,conservative,0,396.4435675675676,53.065115851045505,0.0,0.0,0.3895149120039695,23.99948487133885,0.4064864864864865,True,True
Conservative-AoI Bayes-Safe,conservative,1,460.31335135135134,71.90487197814093,0.9988153153153199,0.9988153153153199,0.38349837218259997,23.999484871338876,0.4064864864864865,True,True
Conservative-AoI Bayes-Safe,conservative,2,512.655945945946,62.96962081409688,1.9982747747747776,1.9982747747747776,0.37458068583606935,23.998681612713394,0.4064864864864865,True,True
Conservative-AoI Bayes-Safe,conservative,4,593.7957297297297,64.19975699847508,3.9839639639639657,3.9839639639639657,0.367774813649478,23.996370870076685,0.4064864864864865,True,True
Conservative-AoI Bayes-Safe,conservative,8,752.2216216216216,61.64571883982134,7.934346846846847,7.934346846846847,0.3285083324532546,23.99597878045288,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,0,396.4435675675676,53.065115851045505,0.0,0.0,0.3895149120039695,23.99948487133885,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,1,417.8548108108108,63.83174680429521,1.0713184901749861,0.0017103616060249588,0.39318209448478253,23.999582564744674,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,422.45372972972973,64.80601429132365,2.0269842304134946,-0.09684835113518234,0.3957042219013884,23.9981236009428,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,432.18632432432435,57.485194060555244,3.4036647751142146,-0.28113697055948034,0.3972881163363119,23.9999869005956,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,441.03140540540534,74.84932117163059,5.051615942021604,-0.5416851890237367,0.39871985653511427,23.995878970711992,0.4064864864864865,True,True
Expected-AoI fitted-GE-Safe,expected,0,398.9847567567568,59.46124244304613,0.0,0.0,0.37942029190869664,23.99948487133896,0.4064864864864865,True,True
Expected-AoI fitted-GE-Safe,expected,1,409.12264864864864,52.798913266867146,1.1274342100960495,-0.11333535071401327,0.38568118923287004,23.999484871338982,0.4064864864864865,True,True
Expected-AoI fitted-GE-Safe,expected,2,422.84556756756757,61.824499291319384,2.1081623069046347,-0.32703156311752385,0.38649078756401084,23.99962992177652,0.4064864864864865,True,True
Expected-AoI fitted-GE-Safe,expected,4,431.00010810810807,73.9505335193825,3.4554358164680474,-0.6269079792777839,0.3903703481301203,23.999296343741346,0.4064864864864865,True,True
Expected-AoI fitted-GE-Safe,expected,8,436.88383783783786,71.54316521170877,5.056270236803145,-1.003507649761763,0.39513180368198375,23.999296343740976,0.4064864864864865,True,True
Perfect-AoI Bayes-Safe,perfect,0,396.4435675675676,53.065115851045505,0.0,0.0,0.3895149120039695,23.99948487133885,0.4064864864864865,True,True
Perfect-AoI Bayes-Safe,perfect,1,419.68464864864865,60.18214618479742,0.0,0.0,0.39242083914842896,23.999629921776332,0.4064864864864865,True,True
Perfect-AoI Bayes-Safe,perfect,2,426.4794054054054,55.749834616164826,0.0,0.0,0.39371308735303134,23.99962992177641,0.4064864864864865,True,True
Perfect-AoI Bayes-Safe,perfect,4,433.40367567567563,56.648610203979096,0.0,0.0,0.3921406404742955,23.998969742677836,0.4064864864864865,True,True
Perfect-AoI Bayes-Safe,perfect,8,435.9832972972973,51.00152127967837,0.0,0.0,0.3949107460342378,23.999484871338947,0.4064864864864865,True,True
