quantile,good_fraction,threshold_db,policy,seed,wAoI,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok,fitted_pLL,fitted_pNL
0.25,0.7497621313035204,-89.41241867615364,Bayes-FreshSky-Safe,0,390.9724444444444,0.20574549300514614,0.393603328790546,23.985614633174237,0.4053333333333334,True,True,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Bayes-FreshSky-Safe,1,394.9364444444444,0.19167338454510865,0.38916826717545255,23.97391918272875,0.4053333333333334,True,True,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Bayes-FreshSky-Safe,2,392.10044444444446,0.20483294876082803,0.392585128946764,23.998220468455372,0.4053333333333334,True,True,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Bayes-FreshSky-Safe,3,407.22355555555555,0.2753920429299446,0.39232570841825304,23.993390715786234,0.4053333333333334,True,True,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Bayes-FreshSky-Safe,4,392.8784444444444,0.21147927341091213,0.3883931897055501,23.99607338322057,0.4053333333333334,True,True,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Bayes-FreshSky,0,386.3728888888889,0.205589827220615,0.3895960550811399,24.643723282428905,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Bayes-FreshSky,1,385.9831111111111,0.19244064368493766,0.3914574922764846,30.66541763802661,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Bayes-FreshSky,2,390.5586666666667,0.20499556516735465,0.39615814490987455,29.897325026723927,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Bayes-FreshSky,3,408.1426666666667,0.2750294458772344,0.39232570841825304,31.81059051881812,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Bayes-FreshSky,4,394.5791111111111,0.21193699087008797,0.3921214083350041,29.841451521637513,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Bayes-Aggregate-DPP,0,386.3397777777778,0.21325911360520874,0.4946756767944538,480.4696944300071,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Bayes-Aggregate-DPP,1,385.0417777777778,0.20160241044450866,0.499966762065407,501.63947802355966,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Bayes-Aggregate-DPP,2,401.996,0.2124919685973982,0.5100480287340239,579.4009578773324,,,,0.9606598984771574,0.1183206106870229
