seed,wAoI,mean_power,max_avg_power,max_queue,max_prefix_violation,mean_model_entropy,feasible,certificate_ok,policy,qcap
0,426.48621621621623,0.22758204395571388,0.3322362492182326,3.9999502716367568,3.526112915853257,0.5503177580962653,True,True,Bayes-FreshSky-Safe,4.0
1,390.33486486486487,0.20711324093141326,0.3207041775393019,3.99429036117226,2.3744990382757534,0.5564992514178339,True,True,Bayes-FreshSky-Safe,4.0
2,454.27027027027026,0.2336403305224538,0.33525490557569226,3.9987264368969324,3.2095106142036407,0.5705466904822073,True,True,Bayes-FreshSky-Safe,4.0
3,436.7643243243243,0.20482088700283033,0.31295718178584686,3.9874419045847023,1.9661947387397107,0.5613199974994781,True,True,Bayes-FreshSky-Safe,4.0
4,431.84972972972975,0.20681806641850994,0.33141108314321155,3.999345884067538,3.586237847056404,0.527080339772272,True,True,Bayes-FreshSky-Safe,4.0
0,428.75567567567566,0.23106229413425639,0.3524739902873626,5.999950271636756,4.7158892273918065,0.5681132771551783,True,True,Bayes-FreshSky-Safe,6.0
1,362.56405405405405,0.21116371498454653,0.3426879316448183,5.988580722344521,4.369398845930904,0.5524029366455508,True,True,Bayes-FreshSky-Safe,6.0
2,463.17,0.23702618748736462,0.3531598637003611,5.99915612956175,5.211412737044368,0.5671659068388644,True,True,Bayes-FreshSky-Safe,6.0
3,425.3327027027027,0.2082802099613561,0.3372645357109611,5.987441904584699,3.939425009013629,0.5558372829716798,True,True,Bayes-FreshSky-Safe,6.0
4,428.23675675675673,0.2122108108357855,0.3476873908031994,5.998691768135076,5.586237847056401,0.5230207430717213,True,True,Bayes-FreshSky-Safe,6.0
0,431.3897297297297,0.23273622250961457,0.36276756527298,7.999950271636754,6.694914182029871,0.5588386597473542,True,True,Bayes-FreshSky-Safe,8.0
1,356.99108108108106,0.21271399206072686,0.3413947696386115,7.988580722344519,6.348998076551506,0.5409346307390663,True,True,Bayes-FreshSky-Safe,8.0
2,449.16810810810813,0.23963071095879598,0.3648906983337648,7.999156129561719,6.8133148598850966,0.57422320561732,True,True,Bayes-FreshSky-Safe,8.0
3,408.21783783783786,0.21044246244446463,0.35367199961041323,7.996395712823679,5.9056197477533345,0.5635528142950771,True,True,Bayes-FreshSky-Safe,8.0
4,421.2762162162162,0.21493998104074044,0.358523450500051,7.998691768135074,7.145075885146429,0.5319800708162835,True,True,Bayes-FreshSky-Safe,8.0
0,408.8343243243243,0.2340825711980005,0.3805819639944877,11.999900543273505,10.673939136667938,0.5471071857156679,True,True,Bayes-FreshSky-Safe,12.0
1,359.9172972972973,0.2144776572143132,0.3551884977048178,11.987346200107144,10.31839692248241,0.5554665613860282,True,True,Bayes-FreshSky-Safe,12.0
2,448.2759459459459,0.24176194207472923,0.3714827217342226,11.999156129561712,7.96391936950509,0.5836774681202159,True,True,Bayes-FreshSky-Safe,12.0
3,370.35675675675674,0.21217135581695976,0.3670410442692261,11.996395712823668,9.980265801808116,0.5375382293701666,True,True,Bayes-FreshSky-Safe,12.0
4,417.29621621621624,0.21767991500567763,0.3722300301540134,11.998050597894764,11.19731731253481,0.5272842430632445,True,True,Bayes-FreshSky-Safe,12.0
0,423.38081081081083,0.2341152607794145,0.37496036925306264,15.999801086547013,12.842371273044806,0.5633723696899183,True,True,Bayes-FreshSky-Safe,16.0
1,349.7310810810811,0.21562552869864413,0.35906798372343834,15.994324634277037,12.017485574136284,0.5375550814174083,True,True,Bayes-FreshSky-Safe,16.0
2,428.3181081081081,0.24260273069135999,0.37723894531629504,15.999156129561685,11.963919369505088,0.5794146979774224,True,True,Bayes-FreshSky-Safe,16.0
3,395.61594594594595,0.21264750579772032,0.37494093429488823,15.991918808704188,10.597168432438265,0.5590095999796066,True,True,Bayes-FreshSky-Safe,16.0
4,398.09594594594597,0.21929454414483626,0.3830720307094492,15.997317312534797,15.155524170624112,0.5254719506130823,True,True,Bayes-FreshSky-Safe,16.0
0,410.7683783783784,0.2357213181664801,0.3845170803134852,23.999651901457337,12.842371273044806,0.5708485521956255,True,True,Bayes-FreshSky-Safe,24.0
1,364.1643243243243,0.21596105338523508,0.3612775001463217,23.98734620010754,13.881786607368099,0.5580235998668948,True,True,Bayes-FreshSky-Safe,24.0
2,413.9578378378378,0.24388571105067794,0.3908220169970783,23.99915612956181,15.241928218540473,0.5713590846989071,True,True,Bayes-FreshSky-Safe,24.0
3,386.6554054054054,0.2129699747044662,0.3785870373836554,23.996395712823773,12.14348857063114,0.5565486380111526,True,True,Bayes-FreshSky-Safe,24.0
4,381.9964864864865,0.22043196208118335,0.38763920842282557,23.98686902705715,23.111048341248296,0.5292278910474645,True,True,Bayes-FreshSky-Safe,24.0
0,400.46972972972975,0.23542875693340162,0.38170628294277265,31.999353531277983,12.842371273044806,0.5623323668916712,True,True,Bayes-FreshSky-Safe,32.0
1,361.4581081081081,0.21614791559501045,0.3663959017586105,31.936311012280466,21.939800229365137,0.5553057829016323,True,True,Bayes-FreshSky-Safe,32.0
2,408.9891891891892,0.24423172353234254,0.3926742540444578,31.97403299757071,17.640881435927344,0.567062870433125,True,True,Bayes-FreshSky-Safe,32.0
3,371.8097297297297,0.21348843676440366,0.38041008892803896,31.991918808704384,12.14348857063114,0.5524889413214963,True,True,Bayes-FreshSky-Safe,32.0
4,400.8913513513514,0.22066149828360118,0.3910645917078579,31.9946346250698,30.91493114025467,0.5333978383674992,True,True,Bayes-FreshSky-Safe,32.0
0,417.8602702702703,0.23523687754378605,0.3845170803134852,37.38982836405978,12.842371273044806,0.5706335239913415,True,True,Bayes-FreshSky-Safe,48.0
1,354.59864864864863,0.2161016592073803,0.366342883706904,33.76008399765144,22.339800229365135,0.5656621358193884,True,True,Bayes-FreshSky-Safe,48.0
2,396.2275675675676,0.2442231333836924,0.3976135528374699,42.114730437793895,27.80071266183974,0.5721876973628833,True,True,Bayes-FreshSky-Safe,48.0
3,365.78783783783786,0.2140095190232146,0.3907407143462125,45.663663094019924,12.14348857063114,0.5516146170914872,True,True,Bayes-FreshSky-Safe,48.0
4,388.39324324324326,0.2210825259496365,0.39092918394510984,45.67325570249384,41.431306791536784,0.5439902897529911,True,True,Bayes-FreshSky-Safe,48.0
0,417.8602702702703,0.23523687754378605,0.3845170803134852,37.38982836405978,12.842371273044806,0.5706335239913415,True,True,Bayes-FreshSky-Safe,64.0
1,354.59864864864863,0.2161016592073803,0.366342883706904,33.76008399765144,22.339800229365135,0.5656621358193884,True,True,Bayes-FreshSky-Safe,64.0
2,396.2275675675676,0.2442231333836924,0.3976135528374699,42.114730437793895,27.80071266183974,0.5721876973628833,True,True,Bayes-FreshSky-Safe,64.0
3,365.78783783783786,0.2140095190232146,0.3907407143462125,45.663663094019924,12.14348857063114,0.5516146170914872,True,True,Bayes-FreshSky-Safe,64.0
4,388.39324324324326,0.2210825259496365,0.39092918394510984,45.67325570249384,41.431306791536784,0.5439902897529911,True,True,Bayes-FreshSky-Safe,64.0
