policy,age_mode,extra_delay,pre_wAoI,post_wAoI,post_wAoI_std,post_age_mae,post_age_bias,post_max_avg_power,max_queue,finite_window_bound,bound_all_seeds,certificate_all_seeds
Conservative-AoI Bayes-Safe,conservative,2,288.7795294117647,539.6929,83.88948087841527,1.984749999999999,1.984749999999999,0.3614944162990684,23.99972645418843,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,4,362.50235294117647,650.0667,64.72481092343952,3.9602750000000015,3.9602750000000015,0.339576151706319,23.99825509962213,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,8,475.77200000000005,797.7529000000001,75.56750021454329,7.8615916666666665,7.8615916666666665,0.32850080793722475,23.994002356156233,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,2,235.07094117647057,445.57259999999997,62.73578333116592,1.983009881072625,-0.13176349578748522,0.38506587818317395,23.998691324716226,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,4,253.54894117647058,457.4315,76.04276373939207,3.539708921248959,-0.49435345445857654,0.3905993386679014,23.999127549811096,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,8,269.12964705882354,457.40029999999996,65.12102568832893,5.483063443426941,-1.1090541917173398,0.3954651482035002,23.999127549810805,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,2,203.7635294117647,455.56269999999995,85.4716197295921,0.0,0.0,0.38360331356437627,23.999726454188448,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,4,201.89764705882354,470.04859999999996,92.55277952363184,0.0,0.0,0.3850361556155657,23.99971247212877,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,8,200.78811764705884,483.15119999999996,90.26417252681155,0.0,0.0,0.39016063447982624,23.99972645418899,0.41200000000000003,True,True
