policy,seed,pre_wAoI,post_wAoI,post_mean_power,post_max_avg_power,max_queue,final_model_entropy,post_feasible,certificate_ok
Bayes-FreshSky-Safe,0,269.30529411764707,602.356,0.2663579327023465,0.39246101935404987,23.998156868508943,0.6055313817643372,True,True
Bayes-FreshSky-Safe,1,247.10470588235293,557.8395,0.23626141349838434,0.3965197703192497,23.995286387269246,0.5818733250243225,True,True
Bayes-FreshSky-Safe,2,259.6652941176471,589.676,0.2618280330276646,0.38323789007179854,23.99766564157408,0.6528289861686064,True,True
Bayes-FreshSky-Safe,3,218.40882352941176,464.0675,0.22057926679263262,0.39051476249741407,23.996726752015206,0.6010553816246028,True,True
Bayes-FreshSky-Safe,4,251.31411764705882,610.536,0.27552782261886843,0.37877975460849733,23.9912380491931,0.6293480012232514,True,True
Bayes-FreshSky,0,249.9664705882353,594.3805,0.26713079531692424,0.39036789391749493,39.681359138729725,0.6061288340577294,True,True
Bayes-FreshSky,1,256.84470588235297,520.4405,0.23689518856969963,0.4043563269147049,40.86142130057285,0.5817541570985105,True,True
Bayes-FreshSky,2,260.05882352941177,567.872,0.26169760058844077,0.386263452361839,42.971367021540026,0.6333476086305857,True,True
Bayes-FreshSky,3,237.2570588235294,481.456,0.22148553597557571,0.39850483436436873,36.3979106116702,0.607434513937497,True,True
Bayes-FreshSky,4,254.4135294117647,590.9355,0.27607887301800166,0.3813582476765922,41.81161639861863,0.6480396283014284,True,True
Bayes-Aggregate-DPP,0,242.36352941176472,599.2275,0.27960091077639937,0.48455853856246733,579.9698023873254,0.6187646520845694,False,True
Bayes-Aggregate-DPP,1,210.73529411764707,484.774,0.2623930959184338,0.5204791695158525,536.3395312777973,0.550472590463318,False,True
Bayes-Aggregate-DPP,2,230.1235294117647,539.1165,0.28402547208872314,0.48509848716982906,527.1276860817961,0.6449112008935929,False,True
Bayes-Aggregate-DPP,3,209.12176470588236,454.429,0.23251363142451562,0.4983807327013015,401.51796673873594,0.5609871341362073,False,True
Bayes-Aggregate-DPP,4,230.41411764705882,604.817,0.28574583068038323,0.46185416554090897,344.83704051307745,0.6285735709355794,False,True
TS-DPP adapted,0,225.40529411764706,614.481,0.32211420117787665,0.7263145264845515,1128.142443831087,,False,True
TS-DPP adapted,1,198.57529411764705,501.468,0.33258821613922906,0.8107862760187214,1348.9113249042043,,False,True
TS-DPP adapted,2,213.31,528.5035,0.3484387247339244,0.7553820517467815,1193.015057677114,,False,True
TS-DPP adapted,3,199.42470588235295,477.931,0.2798471680545429,0.7390816476933224,1112.7237160951024,,False,True
TS-DPP adapted,4,221.07764705882352,666.6355,0.3150643828523483,0.6596503820466595,865.7970142533283,,False,True
FreshSky-B oracle,0,232.10764705882352,582.842,0.26706221297800364,0.40397320925510205,95.17944615844974,,True,True
FreshSky-B oracle,1,212.02470588235295,493.4985,0.2337357257202646,0.3929514048735208,65.74766123551905,,True,True
FreshSky-B oracle,2,221.69235294117647,534.1425,0.26097505008952077,0.4013912638120416,82.06868701215899,,True,True
FreshSky-B oracle,3,201.81823529411764,459.1795,0.21928808952909828,0.39151352148078344,57.76676764075393,,True,True
FreshSky-B oracle,4,227.2941176470588,595.434,0.27497087845540574,0.3946034519289567,82.54882186482463,,True,True
Wang'26 oracle,0,285.6429411764706,537.955,0.3181449144397508,0.7974807913274157,1167.911827125623,,False,True
Wang'26 oracle,1,256.4082352941177,459.196,0.31086437343949225,0.7610193434753725,1137.98128988418,,False,True
Wang'26 oracle,2,283.3235294117647,490.9445,0.31994325890400277,0.6484788508320167,875.2929117265031,,False,True
Wang'26 oracle,3,243.1094117647059,433.5335,0.2591134836509365,0.7161101910758266,1035.9261981283798,,False,True
Wang'26 oracle,4,274.2076470588235,565.315,0.311991650347544,0.7140443415857417,861.3849333314785,,False,True
Memoryless,0,219.20117647058822,665.78,0.30869438139383226,0.5285141727301202,389.0953876607677,,False,True
Memoryless,1,202.08235294117648,548.5775,0.28047320161997985,0.5204791695158525,375.1148994045717,,False,True
Memoryless,2,215.66823529411764,577.502,0.31552823025992227,0.5274563592303962,357.6961978395026,,False,True
Memoryless,3,198.24941176470588,537.5145,0.25777963674574145,0.5323385381358599,341.2991551667817,,False,True
Memoryless,4,223.55941176470589,686.348,0.3034421429705365,0.5231709926576896,340.0403594841068,,False,True
