mean_dwell,extra_delay,policy,wAoI,wAoI_std,worst_user_mean_aoi,worst_user_mean_aoi_std,p95_user_mean_aoi,p95_user_mean_aoi_std,p95_slot_aoi,p95_slot_aoi_std,p99_slot_aoi,p99_slot_aoi_std,cvar95_slot_aoi,cvar95_slot_aoi_std,slot_aoi_gt40,slot_aoi_gt40_std,slot_aoi_gt60,slot_aoi_gt60_std,mean_service_rate,mean_service_rate_std,worst_service_rate,worst_service_rate_std,jain_service_fairness,jain_service_fairness_std,starvation_p95,starvation_p95_std,starvation_max,starvation_max_std,rejection_rate,rejection_rate_std,mean_power,mean_power_std,max_avg_power,max_avg_power_std,max_queue,max_queue_std,bound_all_seeds,certificate_all_seeds,seeds
2.0,2,Conservative-AoI Bayes-Safe,309.9931351351351,23.750251120701954,14.544324324324325,1.4165891412351486,13.525635135135133,1.0847510133000338,27.0,1.8257418583505545,41.7,2.790858091857931,36.50391891891892,2.3041827573676787,0.011815315315315315,0.0033246850991463786,0.0016576576576576578,0.0007492627897216002,0.14263063063063064,0.01697821719021338,0.05802702702702702,0.006167125654974904,0.8040896145931133,0.05720586541562686,23.839999999999964,2.218708332942025,93.3,19.69235610303878,0.030090090090090095,0.018906044525513047,0.2365729108495275,0.04348282330457276,0.3884888966442579,0.01871453018243389,23.90693394883061,0.27703146003262424,True,True,10
2.0,2,Expected-AoI Bayes-Safe,266.34213513513515,29.577759854943128,13.577621621621622,1.6177287698682201,12.682028378378376,1.1266273648178078,23.1,2.4244128727957572,37.6,3.717824931626317,32.068603603603606,3.0191644323612783,0.007396396396396396,0.0028479133783545123,0.0009076576576576576,0.0007933165812239725,0.13963513513513515,0.01627679154354325,0.05927027027027028,0.007264468475529486,0.839790533956384,0.05036139074187667,21.2,2.616188916046477,81.3,18.690758262960987,0.032693693693693696,0.019232983528385577,0.2431563654289511,0.042363813214981984,0.3939298702292767,0.010360382098269802,23.90906342791829,0.2737696439056169,True,True,10
2.0,2,Perfect-AoI Bayes-Safe,227.11716216216217,25.67264438602152,12.278513513513513,2.4523955225869685,10.838777027027025,1.4962441096724983,19.6,2.0110804171997803,33.2,4.315347288715269,28.689909909909908,4.235322668020276,0.004878378378378378,0.0028112623479109125,0.0012545045045045046,0.00120761472884912,0.14043693693693696,0.014841718412443469,0.06772972972972972,0.009545469126539075,0.8671710613128344,0.045976633952178575,18.7,2.0027758514399734,91.2,37.8411886118229,0.042576576576576576,0.02725112961891577,0.24155748808157362,0.04232329294254814,0.3923996817224545,0.013147704479217166,23.98363383630641,0.04351976801918715,True,True,10
2.0,4,Conservative-AoI Bayes-Safe,375.8416756756757,21.02984967459955,16.231540540540543,1.3033746852554562,15.610977027027024,1.0542425971368286,31.7,1.636391694484478,48.3,3.433495141818157,42.03612612612612,2.7057181526412437,0.021466216216216215,0.004932020473606959,0.0031824324324324325,0.001822239258790304,0.14327027027027028,0.017645472266855016,0.05737837837837838,0.005620423180178861,0.787423611549798,0.06315463916011224,27.1,1.791957340762082,92.8,17.580291996058158,0.023486486486486484,0.015947051533018286,0.2344789388273183,0.044225944005247,0.38508392637509997,0.023024482244468198,23.343675377305708,2.051751181355613,True,True,10
2.0,4,Expected-AoI Bayes-Safe,288.40902702702704,34.78620277683665,14.590972972972972,1.9516902711172774,13.591043243243243,1.4749922110425358,25.3,2.6267851073127386,40.2,4.077035960378841,34.843333333333334,3.575333939444583,0.010105855855855855,0.003670580809462463,0.0018243243243243241,0.0013011184132666626,0.1391801801801802,0.016143205399115616,0.0604054054054054,0.008615034150135599,0.8386876653443736,0.05358898950539725,22.784999999999947,3.025084939119627,89.4,18.64403389827427,0.032207207207207204,0.022796383057096827,0.24388809577832854,0.042515846661088916,0.395839658342875,0.00969481735667463,23.865945161620676,0.4150407652126557,True,True,10
2.0,4,Perfect-AoI Bayes-Safe,224.60562162162165,25.053214639685674,11.42154054054054,1.744925789271314,10.515631081081079,1.3707668347625277,19.1,1.911950719959998,31.2,3.645392830531285,27.345675675675675,3.3366489083584088,0.003952702702702702,0.0019674611968775587,0.001036036036036036,0.0008119916881796536,0.1408153153153153,0.014298933685754144,0.06899999999999999,0.009890275389341126,0.8683952234681449,0.04544058660863631,18.539999999999964,2.072143281189298,86.0,22.76937514391742,0.04797297297297297,0.030176616705047152,0.24181593705120769,0.04248677397031543,0.39484375902889957,0.009936975880071827,23.9703074757427,0.08830169615066422,True,True,10
2.0,8,Conservative-AoI Bayes-Safe,490.1281351351351,19.662448986050737,20.358783783783785,1.8237113829615361,19.29871081081081,0.9992001392096459,39.0,1.3333333333333315,57.7,3.3681514877517666,50.73932432432432,2.764574090014313,0.04406531531531531,0.0058291747015443394,0.007936936936936938,0.0028291491947663935,0.1443918918918919,0.01789881112006,0.05502702702702703,0.0059380236602639734,0.7710122157911188,0.06018871306648835,32.8,1.7511900715418263,104.8,11.88650027926172,0.02187387387387387,0.01655135828185977,0.23116571734017216,0.045101603580036204,0.3798274022846716,0.023060990090200958,23.481158407356652,1.628912514074104,True,True,10
2.0,8,Expected-AoI Bayes-Safe,303.28064864864865,38.71827894409178,15.852081081081081,1.8472406657678517,14.633504054054052,1.3678947207034662,27.4,3.0983866769659336,43.9,4.0124805295477755,37.81063063063063,3.399451130507606,0.014689189189189189,0.004757056763221137,0.002288288288288288,0.0007840368696126548,0.13848873873873874,0.01667484665886563,0.058351351351351353,0.007468734713084316,0.8438729085153691,0.05038539644893615,23.6,3.2386554137309647,95.8,12.08120670941258,0.03471171171171171,0.024006977811300633,0.24473217687498647,0.04257079469301377,0.39713534741925527,0.01025903269806509,23.99305970737817,0.012217067101832367,True,True,10
2.0,8,Perfect-AoI Bayes-Safe,225.7742972972973,22.96401857335549,11.620972972972973,1.767454777788293,10.561940540540538,1.250414990186385,19.4,1.8973665961010275,31.9,3.7252889522529355,27.505630630630627,3.152650733960874,0.004371621621621621,0.002230739349384356,0.0008873873873873874,0.0007524155715130558,0.14044594594594595,0.013988655556774842,0.06786486486486487,0.008192206502677872,0.865412588921512,0.04690780405604846,18.4,2.1705094128132942,78.5,17.50079363279785,0.047135135135135134,0.024333917212695157,0.24159010162738417,0.0422667919447968,0.39313050677523836,0.013701082103620216,23.977379706729955,0.06408149693938671,True,True,10
4.0,2,Conservative-AoI Bayes-Safe,411.3588918918919,44.149105254677266,21.93291891891892,3.3338371589047338,19.948920270270268,2.06370550954771,35.2,3.326659986633241,56.8,5.692099788303083,48.737702702702705,4.764631879213955,0.033450450450450454,0.009364060875845319,0.007734234234234234,0.0032002277534403873,0.13661036036036037,0.01842798503089705,0.03829729729729729,0.007433442464813225,0.7540796303872257,0.07405051233558588,28.009999999999945,2.98159167038159,121.7,34.244383156625524,0.02444144144144144,0.01638913753234988,0.2325447192722326,0.04313056137923845,0.3738237840612244,0.028393005671458745,23.40288454389462,1.855800121681198,True,True,10
4.0,2,Expected-AoI Bayes-Safe,346.49572972972976,52.08727969112322,18.907891891891893,3.0445347720011133,17.78485135135135,2.696047672243663,30.6,4.29987079909256,51.6,8.566082989195106,43.63054054054054,6.6514633776458,0.023344594594594592,0.009892640392156338,0.0057319819819819815,0.003869990866498817,0.13163063063063063,0.017753790834097172,0.04256756756756756,0.009942820046711705,0.7998197792369091,0.06631543383679057,24.7,3.973523485382828,108.9,20.89364603041902,0.04689189189189189,0.027608599335710648,0.2433322763225135,0.04212928049855553,0.39512286460240725,0.010441338411839361,23.928952896549088,0.20963715551535775,True,True,10
4.0,2,Perfect-AoI Bayes-Safe,331.71881081081085,48.84701899142538,19.094378378378376,4.2765613897175285,16.97056081081081,2.9530916865243357,28.9,4.3576242252962665,51.8,10.019980039900279,42.943693693693696,7.31134881517582,0.021509009009009008,0.009929625941857985,0.00636036036036036,0.004123476884884738,0.11911036036036035,0.01748758534193735,0.041945945945945945,0.008603297008828928,0.7959097001924397,0.06613892052472127,24.4,3.5339622081862854,110.3,21.736042775895424,0.06924324324324324,0.03800504548848325,0.24276067091664993,0.04198861378098945,0.3916470858428728,0.013516644510486186,23.997394927363715,0.002478432547734407,True,True,10
4.0,4,Conservative-AoI Bayes-Safe,486.2805135135135,46.636537683426276,23.90054054054054,2.8446851326243556,22.310445945945943,2.2723916563717745,39.7,3.1640339933558095,62.1,6.607235091591304,53.75009009009009,5.2339673331685335,0.0476509009009009,0.011434932344477067,0.01134009009009009,0.004459702751677292,0.14029729729729729,0.018654462131776794,0.037675675675675674,0.007882960102581885,0.7386619097653917,0.07612829426172651,32.0,2.9059326290271144,126.9,28.637388149061366,0.015675675675675675,0.01237689062955192,0.22902702003386496,0.04366183127342098,0.3655630020370323,0.02820055704055011,23.779881443125788,0.6579904894495917,True,True,10
4.0,4,Expected-AoI Bayes-Safe,363.29464864864866,59.681117772158146,20.47916216216216,3.5650192246427044,18.869743243243242,3.021944794701022,32.4,4.788875998951459,53.9,8.22529972435993,45.909819819819816,6.8511073153338495,0.02765765765765766,0.011739557449111652,0.006900900900900901,0.004097148883225219,0.13317792792792793,0.017800423630711264,0.04291891891891892,0.011567932412646037,0.801119369095596,0.0660779644175196,25.880000000000017,4.0345177324351384,116.9,29.47861748605061,0.04571171171171171,0.029453204835108226,0.24391686947518054,0.04232730568409227,0.3948585284373652,0.01191932189000992,23.98901220655481,0.025199037897346056,True,True,10
4.0,4,Perfect-AoI Bayes-Safe,332.9211891891892,52.66796427455908,19.30081081081081,5.619057761675704,17.16945675675675,3.889453872744072,28.7,4.854551129266914,53.0,14.414498873626435,43.4595945945946,9.48082010064857,0.02123648648648649,0.010586929663567382,0.006709459459459459,0.005306341676873197,0.11830405405405406,0.01736130565591834,0.04337837837837838,0.009837780087610586,0.7985329085266187,0.06760811303328615,24.1,3.695342413844157,114.3,28.898481313422376,0.07774774774774776,0.04304328980072203,0.24320656068198804,0.041716451751109544,0.3924652787369699,0.01217056464139581,23.99799456638004,0.0025653677640400624,True,True,10
4.0,8,Conservative-AoI Bayes-Safe,623.8253513513513,45.23282411552602,28.88778378378378,2.5523053161311005,27.208470270270265,1.8547791378115268,48.8,2.14993539954628,72.0,3.9999999999999973,62.924369369369366,3.376425751695507,0.09041891891891891,0.01156804447546428,0.02181081081081081,0.004275697884932239,0.14313738738738738,0.01954714218420103,0.035702702702702704,0.007603358093470331,0.7145927727663347,0.07603145864700073,37.67999999999993,3.9442785567622023,123.9,13.135617398677704,0.010837837837837839,0.009017418497490366,0.2221829874099844,0.044848376078423485,0.3469999285664536,0.03884608411664211,23.721079733065146,0.7839049250595339,True,True,10
4.0,8,Expected-AoI Bayes-Safe,377.82483783783783,61.84172068235149,22.141837837837837,4.3407782439708775,20.024560810810808,3.147113397093154,34.0,4.714045207910316,57.8,8.469553313683866,48.685135135135134,6.861002032460709,0.032247747747747746,0.011917461968626015,0.00891891891891892,0.004075255981520489,0.13345720720720722,0.018053687946963198,0.04248648648648649,0.012052424511785504,0.8052299719826121,0.0658999317393231,26.6,4.168666186896929,120.5,25.220141862320194,0.043594594594594596,0.024894675736292494,0.24482407174345705,0.04252892351580247,0.39582143315457174,0.01091283703018945,23.648198717975443,1.1045153346797614,True,True,10
