quantile,threshold_db,good_fraction,extra_delay,policy,age_mode,wAoI,wAoI_std,age_mae,age_bias,p99_slot_aoi,cvar95_slot_aoi,max_avg_power,max_queue,bound_all_seeds,certificate_all_seeds,seeds
0.25,-89.41241867615364,0.7497621313035204,4,Conservative-AoI Bayes-Safe,conservative,543.0647444444445,19.263958302833487,3.9973935185185163,3.9973935185185163,90.5,76.14707407407407,0.39725723702225324,23.999920169140772,True,True,20
0.25,-89.41241867615364,0.7497621313035204,4,Expected-AoI Bayes-Safe,expected,400.0226,9.728894466776737,3.1055048764160254,-0.30310100569595916,81.35,66.21096296296298,0.39632337823573266,23.99984033828132,True,True,20
0.25,-89.41241867615364,0.7497621313035204,4,Perfect-AoI Bayes-Safe,perfect,393.93891111111117,13.307199766634223,0.0,0.0,79.7,64.75527777777778,0.3935931192472641,23.999840338281334,True,True,20
0.25,-89.41241867615364,0.7497621313035204,8,Conservative-AoI Bayes-Safe,conservative,645.8985222222223,17.82560079805716,7.983315740740737,7.983315740740737,95.9,81.85038888888889,0.3942303358957494,23.99996008457033,True,True,20
0.25,-89.41241867615364,0.7497621313035204,8,Expected-AoI Bayes-Safe,expected,409.10754444444444,10.547192249880792,5.082446915561421,-1.0987302325456454,82.75,67.62524074074074,0.39815740928046967,23.999968806835987,True,True,20
0.25,-89.41241867615364,0.7497621313035204,8,Perfect-AoI Bayes-Safe,perfect,397.4884666666666,9.744578179321952,0.0,0.0,78.65,63.79987037037038,0.39066817342832133,23.999840338281338,True,True,20
0.5,-87.66462295051609,0.5004757373929591,4,Conservative-AoI Bayes-Safe,conservative,1096.841688888889,24.37422744620265,3.9004944444444476,3.9004944444444476,120.0,113.57596296296295,0.39220977828806813,23.999982490406996,True,True,20
0.5,-87.66462295051609,0.5004757373929591,4,Expected-AoI Bayes-Safe,expected,915.0767111111111,16.18922755490302,5.146924518053057,-0.9113238972685416,119.95,105.25666666666669,0.3921939849121963,23.999968806836037,True,True,20
0.5,-87.66462295051609,0.5004757373929591,4,Perfect-AoI Bayes-Safe,perfect,910.6764,25.78802844954146,0.0,0.0,119.7,106.32116666666666,0.3850740243147767,23.999960084570294,True,True,20
0.5,-87.66462295051609,0.5004757373929591,8,Conservative-AoI Bayes-Safe,conservative,1215.9277777777777,37.03123116507254,7.727631481481484,7.727631481481484,120.0,116.68892592592593,0.3879972337938936,23.999968806836414,True,True,20
0.5,-87.66462295051609,0.5004757373929591,8,Expected-AoI Bayes-Safe,expected,931.8241333333333,22.303130315048445,9.151670546040966,-2.5705983985017062,119.85,106.57935185185184,0.39373373506196563,23.999968806836105,True,True,20
0.5,-87.66462295051609,0.5004757373929591,8,Perfect-AoI Bayes-Safe,perfect,915.6069666666666,24.68444680155433,0.0,0.0,120.0,105.37853703703702,0.37911579041127275,23.99996008457037,True,True,20
0.75,-85.99993525439743,0.25023786869647957,4,Conservative-AoI Bayes-Safe,conservative,2184.810422222222,46.05576643663367,3.2127962962963013,3.2127962962963013,120.0,120.0,0.38494039248161827,23.99996008457038,True,True,20
0.75,-85.99993525439743,0.25023786869647957,4,Expected-AoI Bayes-Safe,expected,2014.1852999999999,44.36905906032677,6.837261997743736,-2.260940485892102,120.0,120.0,0.3802554161682307,23.999988475567996,True,True,20
0.75,-85.99993525439743,0.25023786869647957,4,Perfect-AoI Bayes-Safe,perfect,2013.192744444444,65.9613962323533,0.0,0.0,120.0,120.0,0.37437023868892527,23.999988475567914,True,True,20
0.75,-85.99993525439743,0.25023786869647957,8,Conservative-AoI Bayes-Safe,conservative,2299.2470777777776,41.80744693116309,6.239865740740736,6.239865740740736,120.0,120.0,0.376660209496538,23.999960084570358,True,True,20
0.75,-85.99993525439743,0.25023786869647957,8,Expected-AoI Bayes-Safe,expected,2042.0717222222222,54.65560904022118,12.703880456491932,-5.157161256833382,120.0,120.0,0.38527586730609603,23.99996008457038,True,True,20
0.75,-85.99993525439743,0.25023786869647957,8,Perfect-AoI Bayes-Safe,perfect,2011.7422666666669,61.37906970529501,0.0,0.0,120.0,120.0,0.36964457188155275,23.999988475567996,True,True,20
