policy,extra_delay,seed,wAoI,mean_age_overestimate,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
Delay-aware Bayes-Safe,0,0,462.10756756756757,0.0,0.2545655725367439,0.39563921071561803,23.997220469611044,0.4064864864864865,True,True
Delay-aware Bayes-Safe,0,1,427.61324324324323,0.0,0.25139655205848704,0.39566015212278827,23.99812360094259,0.4064864864864865,True,True
Delay-aware Bayes-Safe,0,2,356.41,0.0,0.2061863399286568,0.3866851190035102,23.997800383215594,0.4064864864864865,True,True
Delay-aware Bayes-Safe,0,3,405.22216216216214,0.0,0.2184198667170831,0.3948899424584807,23.99948487133885,0.4064864864864865,True,True
Delay-aware Bayes-Safe,0,4,330.86486486486484,0.0,0.20118220744329093,0.3747001357194501,23.94662845750547,0.4064864864864865,True,True
Delay-aware Bayes-Safe,1,0,559.7048648648648,0.9961036036036087,0.2509783185390895,0.39356002041993726,23.997220469610845,0.4064864864864865,True,True
Delay-aware Bayes-Safe,1,1,503.36783783783784,0.9969369369369414,0.24836625757491748,0.39223945916495434,23.998123600942883,0.4064864864864865,True,True
Delay-aware Bayes-Safe,1,2,413.2194594594595,0.9977927927927969,0.20305642298881285,0.37927262470951323,23.997267035753424,0.4064864864864865,True,True
Delay-aware Bayes-Safe,1,3,445.69054054054055,1.0024774774774805,0.21630526979477696,0.3811437735754323,23.999484871338876,0.4064864864864865,True,True
Delay-aware Bayes-Safe,1,4,379.58405405405404,1.0022972972973032,0.1988535013577283,0.3712759830431628,23.992696010686316,0.4064864864864865,True,True
Delay-aware Bayes-Safe,2,0,583.2705405405405,1.9947297297297313,0.24681820799764206,0.38126126978181424,23.993954620467257,0.4064864864864865,True,True
Delay-aware Bayes-Safe,2,1,568.0591891891892,1.9925450450450441,0.24655809623281486,0.3876785352211758,23.998123600942595,0.4064864864864865,True,True
Delay-aware Bayes-Safe,2,2,460.2708108108108,2.000540540540543,0.20153470382260666,0.3687715911263508,23.997267035753424,0.4064864864864865,True,True
Delay-aware Bayes-Safe,2,3,510.1154054054054,2.0034009009009073,0.21476839450374194,0.37614516670886927,23.998681612713394,0.4064864864864865,True,True
Delay-aware Bayes-Safe,2,4,441.5637837837838,2.002184684684689,0.1971585288451456,0.3590468663421368,23.996370870076593,0.4064864864864865,True,True
Delay-aware Bayes-Safe,4,0,677.1218918918919,3.967995495495497,0.2421421518410478,0.37511189446275267,23.99597878045288,0.4064864864864865,True,True
Delay-aware Bayes-Safe,4,1,630.7743243243243,3.9793693693693712,0.23896375942789735,0.38083714930550794,23.984176103819845,0.4064864864864865,True,True
Delay-aware Bayes-Safe,4,2,533.6137837837838,3.984662162162168,0.19711553404081703,0.3687715911263508,23.99590055363013,0.4064864864864865,True,True
Delay-aware Bayes-Safe,4,3,600.7918918918919,3.985270270270273,0.20988476793355293,0.3634223663673395,23.9726805430643,0.4064864864864865,True,True
Delay-aware Bayes-Safe,4,4,526.6767567567567,4.001779279279275,0.195614764947137,0.3507310669854391,23.996370870076685,0.4064864864864865,True,True
Delay-aware Bayes-Safe,8,0,813.8694594594594,7.916373873873879,0.23153856565958986,0.3517452053288762,23.99597878045288,0.4064864864864865,True,True
Delay-aware Bayes-Safe,8,1,805.7083783783784,7.911891891891897,0.23031426256767407,0.3357980253606948,23.982325151108245,0.4064864864864865,True,True
Delay-aware Bayes-Safe,8,2,701.912972972973,7.92522522522523,0.1890319402132664,0.33726849037686346,23.995900553630115,0.4064864864864865,True,True
Delay-aware Bayes-Safe,8,3,764.0089189189189,7.9278153153152875,0.20001125557612787,0.32178531703499613,23.965619654766623,0.4064864864864865,True,True
Delay-aware Bayes-Safe,8,4,675.6083783783783,7.988490990991007,0.18945096139490533,0.29594462416484263,23.968457619782562,0.4064864864864865,True,True
Delay-naive Bayes-Safe,0,0,462.10756756756757,0.0,0.2545655725367439,0.39563921071561803,23.997220469611044,0.4064864864864865,True,True
Delay-naive Bayes-Safe,0,1,427.61324324324323,0.0,0.25139655205848704,0.39566015212278827,23.99812360094259,0.4064864864864865,True,True
Delay-naive Bayes-Safe,0,2,356.41,0.0,0.2061863399286568,0.3866851190035102,23.997800383215594,0.4064864864864865,True,True
Delay-naive Bayes-Safe,0,3,405.22216216216214,0.0,0.2184198667170831,0.3948899424584807,23.99948487133885,0.4064864864864865,True,True
Delay-naive Bayes-Safe,0,4,330.86486486486484,0.0,0.20118220744329093,0.3747001357194501,23.94662845750547,0.4064864864864865,True,True
