scenario,grid_size,models,wAoI,wAoI_std,max_avg_power,max_queue,feasible_all_seeds,certificate_all_seeds,pre_wAoI,post_wAoI,post_wAoI_std
stationary-dwell8,6,36,394.62091891891896,23.427522800445125,0.3794408521728679,23.99985081491027,True,True,,,
shift-dwell2-to14,6,36,,,0.3898576740232174,23.99862940623355,True,True,255.14576470588236,557.7154,62.15482712790696
stationary-dwell8,12,144,391.5084864864865,20.836569751964642,0.38056856865267324,23.999651901457337,True,True,,,
shift-dwell2-to14,12,144,,,0.3883026393702019,23.998156868508943,True,True,249.1596470588235,564.8950000000001,59.825768276512754
stationary-dwell8,20,400,391.457945945946,25.68963882385128,0.38182340384544833,23.999850814910275,True,True,,,
shift-dwell2-to14,20,400,,,0.3874335033748051,23.99890352498682,True,True,253.01176470588234,559.2701,60.769373397913185
