scenario,forget,wAoI,wAoI_std,max_avg_power,max_queue,model_entropy,feasible_all_seeds,certificate_all_seeds,pre_wAoI,post_wAoI,post_wAoI_std
stationary-dwell8,0.0,386.31308108108107,27.372846286559458,0.3669746168530168,23.999850814910275,0.2795921531846072,True,True,,,
stationary-dwell8,0.0005,386.06659459459456,22.099211624879256,0.3741323923486502,23.999850814910275,0.40105726910105116,True,True,,,
stationary-dwell8,0.002,391.5084864864865,20.836569751964642,0.38056856865267324,23.999651901457337,0.5572015531640089,True,True,,,
stationary-dwell8,0.01,394.06491891891886,24.526040104781064,0.38839532361020246,23.999737582804492,0.8056665430952474,True,True,,,
stationary-dwell8,0.02,407.6829189189189,28.30887695607588,0.3930747831199848,23.999303802914657,0.8727280851104885,True,True,,,
shift-dwell2-to14,0.0,,,0.4010833625967135,23.999765608745825,0.18395293667443438,True,True,241.1250588235294,582.4031,68.7565164833487
shift-dwell2-to14,0.0005,,,0.38568946393582215,23.999040584363406,0.434794929093733,True,True,244.67964705882355,570.3306,70.02401753630677
shift-dwell2-to14,0.002,,,0.3883026393702019,23.998156868508943,0.6141274151610241,True,True,249.1596470588235,564.8950000000001,59.825768276512754
shift-dwell2-to14,0.01,,,0.39691293774678055,23.998156868508968,0.8438385618760634,True,True,279.56176470588235,572.7935,69.40019421532622
shift-dwell2-to14,0.02,,,0.39861995821408647,23.99976560874583,0.8825296975337557,True,True,293.1828235294118,573.0362,75.3222541497531
