policy,pre_wAoI,post_wAoI,post_wAoI_std,post_max_avg_power,max_queue,final_model_entropy,post_feasible_all_seeds,certificate_all_seeds
Bayes-FreshSky-Safe,249.1596470588235,564.8950000000001,59.825768276512754,0.3883026393702019,23.998156868508943,0.6141274151610241,True,True
Bayes-FreshSky,251.70811764705886,551.0169,48.81502297628261,0.3921701510469999,42.971367021540026,0.6153409484051502,True,True
Bayes-Aggregate-DPP,224.55164705882353,536.4728,67.11933818822263,0.49007421869807183,579.9698023873254,0.6007418297026534,False,True
TS-DPP adapted,211.5585882352941,557.8037999999999,79.79432631193147,0.7382429767980072,1348.9113249042043,,False,True
FreshSky-B oracle,218.98741176470585,533.0193000000002,57.86485869312219,0.3968865702700809,95.17944615844974,,True,True
Wang'26 oracle,268.5383529411764,497.38880000000006,54.39968644509821,0.7274267036592746,1167.911827125623,,False,True
Memoryless,211.7521176470588,603.1443999999999,68.5354296471905,0.5263918464539837,389.0953876607677,,False,True
