policy,V,post_power,peak_cum_viol,pcv_std,recovers
Fixed-Price (offline-tuned),,5.568774126642067,3792.306301353,166.04243665899185,False
Abd-Elmagid'25 (online),,2.92335378968954,80.52839984010501,21.609698052338086,True
FreshSky (V=200),200.0,2.805466253058445,36.481664837349506,17.589332500203856,True
FreshSky (V=500),500.0,2.9690593076016696,127.75622487431217,31.816429787940375,True
FreshSky (V=1000),1000.0,3.0487607425423,337.1351049308175,26.2186965786183,True
FreshSky (V=2000),2000.0,3.170460938669107,632.4397562051402,31.054523239810145,False
