extra_delay,baseline,freshsky_gain_pct,ci95_halfwidth,paired_seeds
2,Conservative-AoI Safe,15.948281608774527,1.8284388986597446,20
2,Ji'24-style Greedy-Safe,2.151429641799273,1.2520767799036547,20
2,Known-Transition Safe,-0.8682513396782372,1.487931390510911,20
2,Max-Age-First Safe,4.012291084188373,2.234306211892712,20
2,Round-Robin Safe,2.7370457388530305,1.6439188283676556,20
2,Static-Geometry Safe,-0.9421938030022583,1.1850393544290774,20
2,Tripathi'24 Whittle-Safe,0.23165049127614873,2.0162404707494024,20
2,Wang'26 PORMAB-Safe,-0.5234754044142398,2.256802473807198,20
2,Zhao'25 MMSE-MW-Safe,-0.11738679048438494,1.8270461136603868,20
2,Zhu'26-style Aggregate-DPP,-8.64913957752255,2.254091207462437,20
4,Conservative-AoI Safe,26.770534209192743,1.79181644864822,20
4,Ji'24-style Greedy-Safe,1.1674582411240966,1.3030548834123794,20
4,Known-Transition Safe,-0.9570564049083041,1.6353916714995798,20
4,Max-Age-First Safe,0.9231998532677548,2.3871031425998765,20
4,Round-Robin Safe,0.49360215171522137,1.696052675373803,20
4,Static-Geometry Safe,-1.6216232934967898,1.531822581613137,20
4,Tripathi'24 Whittle-Safe,-2.612297646707533,2.820739744359451,20
4,Wang'26 PORMAB-Safe,-2.3812162640724415,2.337974112499112,20
4,Zhao'25 MMSE-MW-Safe,-2.161805708454738,1.9839266332283545,20
4,Zhu'26-style Aggregate-DPP,-8.74910694698168,2.43783316949183,20
8,Conservative-AoI Safe,41.08763882168844,1.9691735155737409,20
8,Ji'24-style Greedy-Safe,1.2868870330313793,1.2785562939697273,20
8,Known-Transition Safe,-1.9482436084095298,1.2683274766283283,20
8,Max-Age-First Safe,-0.20886822937029165,2.2553309030145,20
8,Round-Robin Safe,-0.9259659281896603,1.5151186701118589,20
8,Static-Geometry Safe,-0.419556584959728,0.9785102565696118,20
8,Tripathi'24 Whittle-Safe,-3.3373685648987035,2.4834557781832847,20
8,Wang'26 PORMAB-Safe,-3.549052618779735,2.0973744656145317,20
8,Zhao'25 MMSE-MW-Safe,-3.2152185451962625,1.830242043012278,20
8,Zhu'26-style Aggregate-DPP,-7.458102125019988,2.055953960750613,20
