policy,seed,extra_delay,dwell_pre,dwell_post,pre_wAoI,post_wAoI,post_max_avg_power,max_queue,certificate_ok
FreshSky-Safe,0,4,2.0,14.0,273.54470588235296,526.822,0.40148498493189905,23.99916996720865,True
FreshSky-Safe,1,4,2.0,14.0,289.9129411764706,658.9355,0.39928084780502743,23.99893104841896,True
FreshSky-Safe,2,4,2.0,14.0,318.4764705882353,605.0355,0.405957776154046,23.99784387077483,True
FreshSky-Safe,3,4,2.0,14.0,313.68,613.6035,0.39653101350965847,23.997057886723137,True
FreshSky-Safe,4,4,2.0,14.0,300.4788235294118,542.5305,0.39914145379443383,23.998035312206323,True
FreshSky-Safe,5,4,2.0,14.0,254.40882352941176,429.7715,0.3915893204540177,23.99825446283508,True
FreshSky-Safe,6,4,2.0,14.0,355.8970588235294,791.331,0.40429444248439267,23.998242329635207,True
FreshSky-Safe,7,4,2.0,14.0,253.25588235294117,440.2855,0.3854491582802116,23.999250536987706,True
FreshSky-Safe,8,4,2.0,14.0,325.2635294117647,636.529,0.4026199545717413,23.99630572990709,True
FreshSky-Safe,9,4,2.0,14.0,300.3729411764706,544.894,0.39991912227953114,23.999937806522773,True
FreshSky-Safe,10,4,2.0,14.0,276.94470588235293,498.402,0.3919166089831779,23.996656743981752,True
FreshSky-Safe,11,4,2.0,14.0,247.0235294117647,394.249,0.403054348428407,23.992668083881618,True
FreshSky-Safe,12,4,2.0,14.0,314.5835294117647,660.1205,0.4013069334433564,23.999957755432035,True
FreshSky-Safe,13,4,2.0,14.0,208.4594117647059,334.425,0.37940345147191523,23.999836452473748,True
FreshSky-Safe,14,4,2.0,14.0,307.42058823529413,561.161,0.3998088262740921,23.996776566734777,True
FreshSky-Safe,15,4,2.0,14.0,235.71235294117648,379.3885,0.3961946124010825,23.989902570763334,True
FreshSky-Safe,16,4,2.0,14.0,294.02588235294115,563.495,0.4069827022663815,23.998928462260057,True
FreshSky-Safe,17,4,2.0,14.0,247.14470588235295,488.174,0.39412256953736596,23.99716771166326,True
FreshSky-Safe,18,4,2.0,14.0,335.61470588235295,671.2545,0.4012303232510101,23.99852074818394,True
FreshSky-Safe,19,4,2.0,14.0,236.15117647058824,433.994,0.4067809902066824,23.99561968974503,True
Ji'24-style Greedy-Safe,0,4,2.0,14.0,273.6929411764706,490.7135,0.40148498493189905,23.999749440086894,True
Ji'24-style Greedy-Safe,1,4,2.0,14.0,306.13235294117646,689.4315,0.40031258126188796,23.999866500008995,True
Ji'24-style Greedy-Safe,2,4,2.0,14.0,334.32588235294116,582.29,0.40615491384085983,23.999541969310403,True
Ji'24-style Greedy-Safe,3,4,2.0,14.0,297.31176470588235,613.5865,0.39845126054844615,23.999509647787185,True
Ji'24-style Greedy-Safe,4,4,2.0,14.0,300.6223529411765,542.4185,0.40468508509713436,23.998460953154332,True
Ji'24-style Greedy-Safe,5,4,2.0,14.0,245.61058823529413,434.7765,0.4006335699669809,23.99992498824779,True
Ji'24-style Greedy-Safe,6,4,2.0,14.0,387.4188235294118,796.1855,0.40467436305084853,23.99984032436527,True
Ji'24-style Greedy-Safe,7,4,2.0,14.0,251.88941176470587,435.228,0.3927065692101737,23.99925053698767,True
Ji'24-style Greedy-Safe,8,4,2.0,14.0,332.50882352941176,634.581,0.4013670826347524,23.999934682474024,True
Ji'24-style Greedy-Safe,9,4,2.0,14.0,303.6788235294118,536.752,0.3995196955537664,23.999937806522833,True
Ji'24-style Greedy-Safe,10,4,2.0,14.0,277.38882352941175,460.9145,0.39522858032669766,23.999522391997345,True
Ji'24-style Greedy-Safe,11,4,2.0,14.0,237.79823529411766,399.795,0.40008343185522466,23.99959307668752,True
Ji'24-style Greedy-Safe,12,4,2.0,14.0,329.39529411764704,688.406,0.4019653929102675,23.999040421775963,True
Ji'24-style Greedy-Safe,13,4,2.0,14.0,212.83117647058825,337.0505,0.3919112575643961,23.99589191314287,True
Ji'24-style Greedy-Safe,14,4,2.0,14.0,322.55,563.207,0.39733757930892144,23.999355313347,True
Ji'24-style Greedy-Safe,15,4,2.0,14.0,241.65470588235294,388.911,0.40485460392897504,23.9998305578496,True
Ji'24-style Greedy-Safe,16,4,2.0,14.0,319.8311764705882,568.9195,0.4024137888777634,23.999811496428503,True
Ji'24-style Greedy-Safe,17,4,2.0,14.0,251.14117647058825,450.627,0.39721534804130143,23.999507145894214,True
Ji'24-style Greedy-Safe,18,4,2.0,14.0,362.28470588235297,670.9245,0.40224609622126584,23.9998155273792,True
Ji'24-style Greedy-Safe,19,4,2.0,14.0,255.37058823529412,431.2695,0.4016448665929616,23.998381749261892,True
Zhu'26-style Aggregate-DPP,0,4,2.0,14.0,263.09823529411767,450.629,0.6906009944892637,954.3609256065834,False
Zhu'26-style Aggregate-DPP,1,4,2.0,14.0,287.10823529411766,603.1805,0.6282450442835565,766.2693727308729,False
Zhu'26-style Aggregate-DPP,2,4,2.0,14.0,269.2029411764706,491.5485,0.7075702646452512,1039.09105575397,False
Zhu'26-style Aggregate-DPP,3,4,2.0,14.0,289.73058823529414,599.446,0.5328685532635846,503.3535589738109,False
Zhu'26-style Aggregate-DPP,4,4,2.0,14.0,274.3305882352941,509.2695,0.6397350523316279,839.0930580617849,False
Zhu'26-style Aggregate-DPP,5,4,2.0,14.0,224.6570588235294,394.681,0.5985432618338642,679.5485541302842,False
Zhu'26-style Aggregate-DPP,6,4,2.0,14.0,329.5805882352941,708.646,0.5845498023380975,798.0247707759299,False
Zhu'26-style Aggregate-DPP,7,4,2.0,14.0,247.34470588235294,440.039,0.5088251440895678,299.10995605474767,False
Zhu'26-style Aggregate-DPP,8,4,2.0,14.0,308.48823529411766,613.135,0.5716209231574108,522.3297372870243,False
Zhu'26-style Aggregate-DPP,9,4,2.0,14.0,263.51882352941175,470.9555,0.6540708158637376,939.9793243442575,False
Zhu'26-style Aggregate-DPP,10,4,2.0,14.0,264.3535294117647,424.3475,0.570763061533245,734.587921359605,False
Zhu'26-style Aggregate-DPP,11,4,2.0,14.0,223.78235294117647,385.644,0.5565517047094929,569.4599326913494,False
Zhu'26-style Aggregate-DPP,12,4,2.0,14.0,295.12529411764706,617.2875,0.5970656689813485,675.6332915825881,False
Zhu'26-style Aggregate-DPP,13,4,2.0,14.0,205.8694117647059,330.0365,0.5857822519978462,706.37436534407,False
Zhu'26-style Aggregate-DPP,14,4,2.0,14.0,286.74529411764706,548.2235,0.5265919725780881,559.7836676766816,False
Zhu'26-style Aggregate-DPP,15,4,2.0,14.0,228.18058823529412,375.3335,0.5704769418999168,669.2227866619651,False
Zhu'26-style Aggregate-DPP,16,4,2.0,14.0,278.5358823529412,513.4535,0.6011804779362987,722.0389863257899,False
Zhu'26-style Aggregate-DPP,17,4,2.0,14.0,238.58235294117648,422.0665,0.6537029727765354,933.6371379680468,False
Zhu'26-style Aggregate-DPP,18,4,2.0,14.0,301.77176470588233,616.5055,0.6044865493749447,738.9449070363723,False
Zhu'26-style Aggregate-DPP,19,4,2.0,14.0,213.7335294117647,389.547,0.6296887550421597,746.8179184112022,False
Static-Geometry Safe,0,4,2.0,14.0,272.2029411764706,489.9595,0.40514252724536426,23.995738367422497,True
Static-Geometry Safe,1,4,2.0,14.0,320.92764705882354,638.472,0.40443951508933007,23.99906723682059,True
Static-Geometry Safe,2,4,2.0,14.0,320.8458823529412,602.921,0.4048847531944942,23.999083938620366,True
Static-Geometry Safe,3,4,2.0,14.0,300.5729411764706,610.8115,0.39845126054844615,23.99852894336177,True
Static-Geometry Safe,4,4,2.0,14.0,286.48823529411766,544.4205,0.40770684224765913,23.994793701570398,True
Static-Geometry Safe,5,4,2.0,14.0,239.7270588235294,429.8695,0.40321934025709366,23.99841767267454,True
Static-Geometry Safe,6,4,2.0,14.0,348.16764705882355,754.489,0.40321093484041204,23.997685128265033,True
