policy,extra_delay,pre_wAoI,pre_wAoI_std,post_wAoI,post_wAoI_std,post_max_avg_power,max_queue,certificate_all_seeds,seeds
FreshSky-Safe,4,284.42141176470585,38.931714085363325,542.94435,121.45500871495582,0.39822508164318143,23.999957755432035,True,20
Ji'24-style Greedy-Safe,4,292.17188235294117,45.930336580294785,537.347325,122.25003768369616,0.4004673304179695,23.999937806522787,True,20
Static-Geometry Safe,4,283.8286764705882,40.92297241852197,529.26365,117.75781217040559,0.3993671719036549,23.999840324364886,True,20
Zhu'26-style Aggregate-DPP,4,264.687,34.030495690329296,494.98727500000007,103.11473358294107,0.6016723067871365,1039.09105575397,False,20
