qcap,seed,rejection_pct,uav_near_cap_pct,median_queue_pressure_pct,uav_near_budget_pct,bound_slack_mw
4.0,0,30.44144144144144,50.0,72.2891679,0.0,0.053673898737644776
4.0,1,51.17117117117117,66.66666666666666,99.581142125,0.0,0.05521689676589858
4.0,2,32.84684684684684,50.0,86.161323725,0.0,0.058949806320109266
4.0,3,55.28828828828829,75.0,99.7779910125,0.0,0.035110673885518806
4.0,4,33.27027027027027,83.33333333333334,99.6604171375,0.0,0.07277829279818437
4.0,5,34.72072072072072,58.333333333333336,99.366831375,0.0,0.06409403344095521
4.0,6,10.01801801801801,50.0,75.50436222500001,0.0,0.08034529741879387
4.0,7,27.82882882882883,41.66666666666667,19.950404445,0.0,0.07620865492610618
4.0,8,32.76576576576576,50.0,82.85408468749999,0.0,0.06713582729929068
4.0,9,44.54054054054054,66.66666666666666,99.0944374625,0.0,0.055581360131661595
4.0,10,48.98198198198198,83.33333333333334,99.61263487500001,0.0,0.06221586761649528
4.0,11,28.8018018018018,83.33333333333334,99.50018304999999,0.0,0.07406139919142068
4.0,12,33.89189189189189,75.0,99.662073425,0.0,0.07133124392580692
4.0,13,14.65765765765765,33.33333333333333,50.98405311250001,0.0,0.09592768942375401
4.0,14,35.171171171171174,83.33333333333334,99.5158819125,0.0,0.07441720692210407
4.0,15,30.56756756756756,58.333333333333336,96.703226775,0.0,0.0702764841397161
4.0,16,44.57657657657657,58.333333333333336,92.69083855,0.0,0.05990939695870412
4.0,17,30.41441441441441,50.0,81.860383175,0.0,0.07939811976981898
4.0,18,24.22522522522522,33.33333333333333,22.994710112499998,0.0,0.07180128860260798
4.0,19,38.43243243243243,83.33333333333334,99.6864863125,0.0,0.0659332989808255
8.0,0,19.06306306306306,41.66666666666667,48.9173541625,0.0,0.026613057226659687
8.0,1,37.69369369369369,66.66666666666666,99.8094616375,0.0,0.024290349439151315
8.0,2,22.85585585585585,41.66666666666667,51.88008624375,0.0,0.03218789833309671
8.0,3,38.51351351351351,75.0,99.94264356875,8.333333333333332,0.0215065643927545
8.0,4,19.93693693693693,83.33333333333334,99.85426685625,0.0,0.039440533172187486
8.0,5,19.89189189189189,58.333333333333336,99.41706831249999,0.0,0.039651397412083234
8.0,6,4.2072072072072,25.0,49.01648971875,0.0,0.05362651109318073
8.0,7,17.25225225225225,41.66666666666667,10.3564906725,0.0,0.036312525187537026
8.0,8,20.351351351351347,50.0,62.02945453125,0.0,0.029543101416672102
8.0,9,30.99099099099099,58.333333333333336,97.5037930375,0.0,0.02854037090290723
8.0,10,33.44144144144144,91.66666666666666,99.82676900625,0.0,0.030190957482499392
8.0,11,15.79279279279279,75.0,99.61145834375,0.0,0.04260483110322072
8.0,12,17.18918918918918,75.0,99.83990349375,0.0,0.038858867315495926
8.0,13,7.7027027027027,33.33333333333333,29.691766962499997,0.0,0.05076134151663969
8.0,14,19.15315315315315,66.66666666666666,99.75667966875,0.0,0.03406403171668193
8.0,15,20.09009009009009,41.66666666666667,59.467735312500004,0.0,0.0350887591439798
8.0,16,31.96396396396396,58.333333333333336,97.62098180625,0.0,0.023398940223294806
8.0,17,20.59459459459459,41.66666666666667,49.74191848125,0.0,0.034524492092147696
8.0,18,14.72972972972973,33.33333333333333,11.497355056249999,0.0,0.03434443841583851
8.0,19,22.35135135135135,83.33333333333334,99.85439291875,0.0,0.043229815023381524
12.0,0,13.57657657657657,41.66666666666667,37.388396766666666,16.666666666666664,0.01604920482136868
12.0,1,28.423423423423422,58.333333333333336,99.908459875,41.66666666666667,0.010172702962718383
12.0,2,16.09009009009009,41.66666666666667,42.70858057083334,16.666666666666664,0.018081894467945114
12.0,3,27.495495495495497,75.0,99.92035299999999,41.66666666666667,0.010994073968168261
12.0,4,12.5045045045045,58.333333333333336,99.757772375,0.0,0.0235769542128611
12.0,5,11.74774774774774,50.0,93.33477354166666,0.0,0.026580778969989782
12.0,6,2.18918918918918,25.0,27.894380054166668,0.0,0.04350466053275831
12.0,7,12.11711711711711,41.66666666666667,6.904327115,16.666666666666664,0.018664102669234073
12.0,8,13.954954954954951,50.0,59.305621229166675,8.333333333333332,0.014663563750829611
12.0,9,22.98198198198198,50.0,84.70030278333334,33.33333333333333,0.007812499498809966
12.0,10,24.17117117117117,75.0,99.887601,25.0,0.018517686699524194
12.0,11,9.92792792792792,58.333333333333336,98.91557629166667,0.0,0.029913538354410296
12.0,12,10.16216216216216,66.66666666666666,99.82968775,0.0,0.024230122143056088
12.0,13,5.41441441441441,25.0,17.5036181125,0.0,0.030042076265206663
12.0,14,10.90990990990991,58.333333333333336,98.77686558333335,8.333333333333332,0.02134143290605739
12.0,15,14.576576576576569,41.66666666666667,40.554850124999994,0.0,0.024846239103677614
12.0,16,24.91891891891892,58.333333333333336,95.03584170833335,25.0,0.012519077453674587
12.0,17,13.81981981981982,41.66666666666667,36.40183072916667,8.333333333333332,0.018519848121897886
12.0,18,9.45045045045045,33.33333333333333,7.235296687500001,8.333333333333332,0.02180112926441491
12.0,19,14.243243243243239,75.0,99.62590220833334,0.0,0.02468672897694557
16.0,0,10.072072072072071,33.33333333333333,26.557711768750004,25.0,0.01179302472119581
16.0,1,21.07207207207207,58.333333333333336,99.915241875,50.0,0.008109219721555094
16.0,2,11.90990990990991,33.33333333333333,28.440043121875004,25.0,0.011991296546638386
16.0,3,20.28828828828829,75.0,99.94197565625001,58.333333333333336,0.00979463369712913
16.0,4,9.05405405405405,58.333333333333336,97.64190875,16.666666666666664,0.01671522590000113
16.0,5,7.46846846846846,50.0,80.894315875,8.333333333333332,0.02375573079194071
16.0,6,1.1711711711711699,16.666666666666664,21.480596053125,0.0,0.0371171205195035
16.0,7,9.76576576576576,33.33333333333333,4.7016752303125,25.0,0.012877699097207596
16.0,8,11.31531531531531,50.0,56.987534149999995,16.666666666666664,0.008378205410253525
16.0,9,17.44144144144144,50.0,71.510530375,33.33333333333333,0.010041420184374095
16.0,10,18.423423423423422,50.0,92.99611359375,33.33333333333333,0.00913946348337491
16.0,11,7.22522522522522,50.0,89.97773109375001,16.666666666666664,0.023847114930112212
16.0,12,6.441441441441439,58.333333333333336,99.80460265625,16.666666666666664,0.014863192248696921
16.0,13,3.5045045045045,25.0,12.370016846875002,8.333333333333332,0.0217801517752102
16.0,14,7.58558558558558,58.333333333333336,94.55738368749999,16.666666666666664,0.011494600739538119
16.0,15,10.88288288288288,33.33333333333333,29.623707,25.0,0.016828167455154808
16.0,16,18.72072072072072,50.0,71.2977354875,33.33333333333333,0.006765333477211921
16.0,17,11.09009009009009,25.0,27.761424775,25.0,0.008995996412497598
16.0,18,7.63063063063063,33.33333333333333,5.587575021875,16.666666666666664,0.012774260323742015
16.0,19,9.76576576576576,50.0,89.68754193749999,8.333333333333332,0.016905282968180113
24.0,0,4.36036036036036,33.33333333333333,15.62552691875,33.33333333333333,0.0071623090163076
24.0,1,12.14414414414414,58.333333333333336,99.41274854166666,50.0,0.005554535400350891
24.0,2,5.576576576576571,33.33333333333333,17.022149879166665,33.33333333333333,0.006981779706412783
24.0,3,9.44144144144144,66.66666666666666,99.88881756249998,58.333333333333336,0.007307873154361877
24.0,4,3.86486486486486,33.33333333333333,63.10603897916667,25.0,0.0098755374156968
24.0,5,3.13513513513513,41.66666666666667,59.083410791666665,25.0,0.014757523642302817
24.0,6,0.6666666666666601,16.666666666666664,15.188209822916669,0.0,0.035959895528627606
24.0,7,4.45045045045045,25.0,4.055287542916666,25.0,0.0081723766062623
24.0,8,5.9189189189189095,41.66666666666667,31.766132599999995,16.666666666666664,0.007471017813391989
24.0,9,11.810810810810809,41.66666666666667,57.62483327291667,33.33333333333333,0.007038304126362416
24.0,10,10.36936936936936,50.0,87.08319908333334,33.33333333333333,0.006114915783466124
24.0,11,3.3603603603603602,25.0,57.716453145833334,16.666666666666664,0.012990091346740618
24.0,12,2.8108108108108096,41.66666666666667,81.13113735416667,16.666666666666664,0.012665714872699019
24.0,13,2.23423423423423,8.333333333333332,7.936077020833333,8.333333333333332,0.015118364231354708
24.0,14,3.6306306306306304,41.66666666666667,64.63554933333333,25.0,0.00963068959995289
24.0,15,6.05405405405405,33.33333333333333,26.124962391666667,25.0,0.009216813811281921
24.0,16,12.42342342342342,41.66666666666667,62.688418812500004,33.33333333333333,0.006895942384313014
24.0,17,6.468468468468461,25.0,17.23442111875,25.0,0.008212343910637188
24.0,18,3.17117117117117,25.0,3.6176483437500004,25.0,0.01227643563807429
24.0,19,5.05405405405405,41.66666666666667,72.72796937500001,16.666666666666664,0.013370106286869687
28.0,0,3.7747747747747704,33.33333333333333,18.653888441071427,33.33333333333333,0.007272978973524191
28.0,1,10.63063063063063,58.333333333333336,96.478916,50.0,0.005063334320309809
28.0,2,3.74774774774774,33.33333333333333,17.94310265357143,33.33333333333333,0.003107728251862396
28.0,3,6.13513513513513,66.66666666666666,99.878493,58.333333333333336,0.00784659198906773
28.0,4,2.81981981981981,25.0,53.533985553571426,25.0,0.00869093526087139
28.0,5,1.73873873873873,41.66666666666667,51.59468114285715,33.33333333333333,0.017255811895341533
28.0,6,0.009009009009009007,8.333333333333332,13.982288437500001,0.0,0.040775287156876505
28.0,7,2.77477477477477,25.0,2.4893492623214284,25.0,0.008629140900697108
28.0,8,2.9909909909909898,33.33333333333333,30.738918848214286,25.0,0.00977983879808253
28.0,9,7.99099099099099,41.66666666666667,42.45613480357143,33.33333333333333,0.006971545602960427
28.0,10,7.108108108108099,50.0,74.82799878571429,33.33333333333333,0.007408351834913729
28.0,11,2.22522522522522,25.0,48.62990335714286,16.666666666666664,0.01210369045212284
28.0,12,1.63063063063063,41.66666666666667,83.10524589285714,16.666666666666664,0.01423120034690889
28.0,13,1.54954954954954,8.333333333333332,6.726655882142857,8.333333333333332,0.014642277717256125
28.0,14,2.04504504504504,41.66666666666667,58.23241235714286,25.0,0.011286924009854926
28.0,15,4.09909909909909,25.0,20.291691925,25.0,0.007466994612016997
28.0,16,8.32432432432432,41.66666666666667,48.124904105357146,33.33333333333333,0.0057393751791268155
28.0,17,5.19819819819819,25.0,13.949090008928572,25.0,0.011060913790131799
28.0,18,2.21621621621621,25.0,3.1929000124999996,25.0,0.011229527240891324
28.0,19,3.5495495495495395,25.0,58.69892169642858,16.666666666666664,0.005588660278104229
32.0,0,1.7207207207207202,33.33333333333333,16.629754334375,33.33333333333333,0.005667117335114991
32.0,1,5.88288288288288,58.333333333333336,97.39162671874999,50.0,0.0024757570254392847
32.0,2,3.27927927927927,33.33333333333333,16.4418303234375,33.33333333333333,0.004823754135637015
32.0,3,4.33333333333333,66.66666666666666,99.8767654375,58.333333333333336,0.00784294857739859
32.0,4,1.58558558558558,25.0,44.835613078125,25.0,0.011265936313138714
32.0,5,0.75675675675675,33.33333333333333,45.901755359375,25.0,0.016361667338875008
32.0,6,0.34234234234234,8.333333333333332,10.8899394203125,0.0,0.03563251732601119
32.0,7,3.2162162162162096,25.0,2.8688086478125,25.0,0.009710221981778289
32.0,8,3.09009009009009,25.0,29.690721617187503,25.0,0.007177700168335188
32.0,9,5.86486486486486,41.66666666666667,43.704800960937504,33.33333333333333,0.007478706881799968
32.0,10,5.02702702702702,41.66666666666667,62.088080421875006,33.33333333333333,0.005236422215662673
32.0,11,1.81081081081081,25.0,43.287339859375,16.666666666666664,0.00974167807573112
32.0,12,1.0,25.0,56.79943178125,16.666666666666664,0.011382771008225101
32.0,13,1.27027027027027,8.333333333333332,5.885823896875,8.333333333333332,0.012089967742918317
32.0,14,1.29729729729729,33.33333333333333,45.31738315625,25.0,0.00949223844683078
32.0,15,3.9909909909909898,25.0,17.309157756250002,25.0,0.009938776628924506
32.0,16,5.82882882882882,41.66666666666667,51.088867640625004,33.33333333333333,0.00824181402755969
32.0,17,3.0630630630630598,25.0,12.530841701562501,25.0,0.01043468789621188
32.0,18,1.52252252252252,16.666666666666664,2.7132362578125,25.0,0.013374603061104495
32.0,19,2.92792792792792,25.0,49.947205640625,25.0,0.011101004904108591
36.0,0,0.88288288288288,25.0,9.955143013888888,33.33333333333333,0.006523907764093395
36.0,1,4.28828828828828,33.33333333333333,79.56919590277778,50.0,0.005129120267642395
36.0,2,1.1171171171171101,33.33333333333333,13.748846943055554,33.33333333333333,0.004634945611331209
36.0,3,2.8918918918918903,66.66666666666666,99.48098473611111,58.333333333333336,0.010008754151229926
36.0,4,0.73873873873873,25.0,44.47060836111111,25.0,0.007865257480661525
36.0,5,1.09009009009009,33.33333333333333,42.7365042638889,25.0,0.015210674557596005
36.0,6,0.22522522522522,8.333333333333332,10.086936715277778,0.0,0.04044790895426009
36.0,7,1.21621621621621,25.0,2.3965792327777775,25.0,0.013285756191768694
