policy,max_avg_power,max_avg_power_ci95,wAoI,wAoI_ci95
FreshSky-Safe,0.39564785797271323,0.003098207440186253,447.693527027027,34.177543742344014
Wang'26 PORMAB-Safe,0.4012656605153097,0.0005690900354296554,439.40005405405407,38.4158249538173
Tripathi'24 Whittle-Safe,0.4015798549126061,0.000769491190239679,438.4735675675676,37.931811541729374
Ji'24-style Greedy-Safe,0.40007357791056525,0.001326209038237923,452.75995945945954,33.64308339769789
Zhao'25 MMSE-MW-Safe,0.40195460612037986,0.000825976618817798,439.5737027027027,36.859015092611095
Static-Geometry Safe,0.3942762063398589,0.0035823945610248694,439.8777432432433,30.92034612688462
Known-Transition Safe,0.3936168314203061,0.003598889694545775,443.51317567567565,33.66665627803959
Zhu'26-style Aggregate-DPP,0.5615161042048475,0.02665361004109908,411.5668243243243,30.059229690000603
