seed,effect,metric,metric_label,unit,effect_value
2,Bayesian belief,p99_slot_aoi,p99 AoI,relative_pct,2.2058823529411766
2,Bayesian belief,worst_user_mean_aoi,worst user,relative_pct,-6.485128558659094
2,Bayesian belief,max_avg_power,max power,relative_pct,2.740263002920219
2,Bayesian belief,rejection_rate,rejection,percentage_points,-0.3468468468468454
2,Safety shield,wAoI,W-AoI,relative_pct,1.171178354000297
2,Safety shield,p99_slot_aoi,p99 AoI,relative_pct,5.882352941176471
2,Safety shield,worst_user_mean_aoi,worst user,relative_pct,1.7631903345855262
2,Safety shield,max_avg_power,max power,relative_pct,-2.29119417724123
2,Safety shield,rejection_rate,rejection,percentage_points,4.130630630630625
2,Belief × age,wAoI,W-AoI,relative_pct,2.7509682126767294
2,Belief × age,p99_slot_aoi,p99 AoI,relative_pct,5.882352941176471
2,Belief × age,worst_user_mean_aoi,worst user,relative_pct,9.208083333820179
2,Belief × age,max_avg_power,max power,relative_pct,-3.5692642575223377
2,Belief × age,rejection_rate,rejection,percentage_points,-0.05855855855856004
2,Belief × shield,wAoI,W-AoI,relative_pct,-0.6075772097584635
2,Belief × shield,p99_slot_aoi,p99 AoI,relative_pct,-3.676470588235294
2,Belief × shield,worst_user_mean_aoi,worst user,relative_pct,-7.629741714232304
2,Belief × shield,max_avg_power,max power,relative_pct,-0.18098003773705912
2,Belief × shield,rejection_rate,rejection,percentage_points,-0.3468468468468454
2,Age × shield,wAoI,W-AoI,relative_pct,0.4661300920574189
2,Age × shield,p99_slot_aoi,p99 AoI,relative_pct,-0.7352941176470589
2,Age × shield,worst_user_mean_aoi,worst user,relative_pct,-1.6472801416160745
2,Age × shield,max_avg_power,max power,relative_pct,0.16659012768695614
2,Age × shield,rejection_rate,rejection,percentage_points,1.8513513513513502
2,Three-way,wAoI,W-AoI,relative_pct,0.6820543290061846
2,Three-way,p99_slot_aoi,p99 AoI,relative_pct,7.352941176470588
2,Three-way,worst_user_mean_aoi,worst user,relative_pct,6.392119976397317
2,Three-way,max_avg_power,max power,relative_pct,0.5132456065183959
2,Three-way,rejection_rate,rejection,percentage_points,-0.05855855855856004
3,Expected age,wAoI,W-AoI,relative_pct,-28.84178709550758
3,Expected age,p99_slot_aoi,p99 AoI,relative_pct,-25.974025974025974
3,Expected age,worst_user_mean_aoi,worst user,relative_pct,-27.225699726832016
3,Expected age,max_avg_power,max power,relative_pct,5.073201473719422
3,Expected age,rejection_rate,rejection,percentage_points,1.53828828828829
3,Bayesian belief,wAoI,W-AoI,relative_pct,1.6792020373182845
3,Bayesian belief,p99_slot_aoi,p99 AoI,relative_pct,12.987012987012987
3,Bayesian belief,worst_user_mean_aoi,worst user,relative_pct,13.791047780526242
3,Bayesian belief,max_avg_power,max power,relative_pct,1.222182272729683
3,Bayesian belief,rejection_rate,rejection,percentage_points,-0.020270270270270063
3,Safety shield,wAoI,W-AoI,relative_pct,-0.9069116994889717
3,Safety shield,p99_slot_aoi,p99 AoI,relative_pct,5.8441558441558445
3,Safety shield,worst_user_mean_aoi,worst user,relative_pct,1.829464206219253
3,Safety shield,max_avg_power,max power,relative_pct,-0.7479256456147999
3,Safety shield,rejection_rate,rejection,percentage_points,7.804054054054049
3,Belief × age,wAoI,W-AoI,relative_pct,0.27755543897916923
3,Belief × age,p99_slot_aoi,p99 AoI,relative_pct,-3.896103896103896
3,Belief × age,worst_user_mean_aoi,worst user,relative_pct,-3.0996888955987334
3,Belief × age,max_avg_power,max power,relative_pct,-0.944576119216987
3,Belief × age,rejection_rate,rejection,percentage_points,0.1193693693693697
3,Belief × shield,wAoI,W-AoI,relative_pct,1.5903173487993665
3,Belief × shield,p99_slot_aoi,p99 AoI,relative_pct,1.948051948051948
3,Belief × shield,worst_user_mean_aoi,worst user,relative_pct,3.2896290360667013
3,Belief × shield,max_avg_power,max power,relative_pct,-0.4577020427274497
3,Belief × shield,rejection_rate,rejection,percentage_points,-0.020270270270270063
3,Age × shield,wAoI,W-AoI,relative_pct,0.39042984383196355
3,Age × shield,p99_slot_aoi,p99 AoI,relative_pct,-3.2467532467532467
3,Age × shield,worst_user_mean_aoi,worst user,relative_pct,-2.9618790654222527
3,Age × shield,max_avg_power,max power,relative_pct,-0.2517018866421214
3,Age × shield,rejection_rate,rejection,percentage_points,1.53828828828829
3,Three-way,wAoI,W-AoI,relative_pct,0.6874336900529722
3,Three-way,p99_slot_aoi,p99 AoI,relative_pct,-0.6493506493506493
3,Three-way,worst_user_mean_aoi,worst user,relative_pct,-0.2144568705555337
3,Three-way,max_avg_power,max power,relative_pct,0.9947393090733188
3,Three-way,rejection_rate,rejection,percentage_points,0.1193693693693697
4,Expected age,wAoI,W-AoI,relative_pct,-31.12138559166016
4,Expected age,p99_slot_aoi,p99 AoI,relative_pct,-20.30075187969925
4,Expected age,worst_user_mean_aoi,worst user,relative_pct,-29.33074256679657
4,Expected age,max_avg_power,max power,relative_pct,5.780333598139139
4,Expected age,rejection_rate,rejection,percentage_points,1.1058558558558576
4,Bayesian belief,wAoI,W-AoI,relative_pct,-0.11912000873132773
4,Bayesian belief,p99_slot_aoi,p99 AoI,relative_pct,4.511278195488722
4,Bayesian belief,worst_user_mean_aoi,worst user,relative_pct,-1.7105518117424123
4,Bayesian belief,max_avg_power,max power,relative_pct,0.770748588344071
4,Bayesian belief,rejection_rate,rejection,percentage_points,-0.6328828828828826
4,Safety shield,wAoI,W-AoI,relative_pct,-0.4102516128335871
4,Safety shield,p99_slot_aoi,p99 AoI,relative_pct,3.007518796992481
4,Safety shield,worst_user_mean_aoi,worst user,relative_pct,1.050659891919819
4,Safety shield,max_avg_power,max power,relative_pct,-1.8660787619256562
4,Safety shield,rejection_rate,rejection,percentage_points,3.164414414414408
4,Belief × age,wAoI,W-AoI,relative_pct,2.5873700648011884
4,Belief × age,p99_slot_aoi,p99 AoI,relative_pct,0.7518796992481203
