mean_dwell,extra_delay,seed,gain_vs_conservative_pct,gap_vs_true_aoi_pct
2.0,2,0,15.515755582892188,18.349679440765645
2.0,2,1,10.012762928601221,12.471048985372404
2.0,2,2,14.855886000084526,14.615118311536765
2.0,2,3,10.930768889142662,16.29498239172282
2.0,2,4,11.366035202070025,21.11025952302366
2.0,2,5,16.325646516781067,21.168932015090082
2.0,2,6,21.58159534209022,16.21010616641673
2.0,2,7,15.3787302789635,15.80963639434134
2.0,2,8,14.784719879510078,17.821648845915583
2.0,2,9,12.065652718740015,19.373851321376517
2.0,4,0,26.529793423115713,28.680536292186776
2.0,4,1,20.23946145237308,28.663436546286167
2.0,4,2,24.367847403505504,28.50905364614853
2.0,4,3,17.154191715663615,31.387755315860872
2.0,4,4,19.19016296554188,25.745233476634848
2.0,4,5,22.0745381036885,36.923305815295315
2.0,4,6,35.79355844383948,21.68219049430562
2.0,4,7,27.433148242150423,25.86024280353129
2.0,4,8,21.481211247359063,31.762029716466735
2.0,4,9,20.788289661057334,23.98241159724467
2.0,8,0,44.589716268204384,29.741832951666726
2.0,8,1,34.147613293665984,36.33109113862039
2.0,8,2,36.602052257050644,36.27210156085783
2.0,8,3,28.525913631467297,40.38118082217144
2.0,8,4,33.27169108333115,35.836434284291634
2.0,8,5,38.42440103834206,42.85033794498353
2.0,8,6,47.59995532066244,30.46227435528513
2.0,8,7,44.313331498516604,25.06472502504534
2.0,8,8,39.5318908913678,29.117091623449898
2.0,8,9,36.13807478165997,34.51444891543191
4.0,2,0,15.237584362027096,4.841271223175208
4.0,2,1,12.40841017916004,1.4757068084547342
4.0,2,2,17.15849157514588,1.0308587610482385
4.0,2,3,13.259745784598838,4.4544293738638565
4.0,2,4,11.964373855833466,8.325581252315995
4.0,2,5,20.56881111775987,8.453720735306945
4.0,2,6,25.11322085034515,1.6418725915771015
4.0,2,7,16.81651516225206,7.5184888613581
4.0,2,8,18.50558567804399,-1.0026937804521334
4.0,2,9,9.406762767587509,7.728972590865511
4.0,4,0,28.142838815343794,13.95705915181223
4.0,4,1,17.657035242820573,14.539517245955501
4.0,4,2,25.185611415608182,10.91963498348327
4.0,4,3,17.610618194092016,14.191173429292292
4.0,4,4,20.942303481730427,11.745467301548691
4.0,4,5,24.509033778476045,14.739304956687818
4.0,4,6,35.255325810234446,6.362693014809567
4.0,4,7,31.798271914439493,7.754205376456834
4.0,4,8,34.137591539748904,3.636090155409596
4.0,4,9,21.14893466196784,10.52748500656517
4.0,8,0,44.26749422180072,14.245352789952511
4.0,8,1,31.034675127841993,13.658232138003697
4.0,8,2,40.52689671222534,9.68201505337604
4.0,8,3,31.04415584415585,23.501514507081108
4.0,8,4,35.40196749099996,17.940596453316612
4.0,8,5,38.921727434793915,20.480511647647692
4.0,8,6,51.44316234030146,7.659999843282828
