policy,pre_wAoI,pre_ci95,post_wAoI,post_ci95,seeds
FreshSky-Safe,284.42141176470585,18.220603058570937,542.94435,56.84269381045499,20
Ji'24-style Greedy-Safe,292.1718823529412,21.49605921129332,537.347325,57.21477882134661,20
Static-Geometry Safe,283.8286764705882,19.152540645392886,529.26365,55.112352564239565,20
Zhu'26-style Aggregate-DPP,264.687,15.926762240684754,494.98727500000007,48.259180830967274,20
