effect,mean_effect_pct,ci95_halfwidth,seeds
Age × shield,0.9963646966299116,0.4807513136729618,20
Bayesian belief,-0.23451180727940946,0.72414990392429,20
Belief × age,1.5796375852812377,0.511954377668878,20
Belief × shield,-0.1543821635591236,0.579949560248642,20
Expected age,-33.897254351209796,2.008004045888709,20
Safety shield,1.3520617036818074,0.6837527773509255,20
Three-way,-0.04963410254199791,0.6103055182755408,20
