qcap,seeds,wAoI,wAoI_ci95,max_avg_power,max_avg_power_ci95,worst_user_mean_aoi,worst_user_mean_aoi_ci95,jain_service_fairness,jain_service_fairness_ci95,p95_slot_aoi,p95_slot_aoi_ci95,starvation_p95,starvation_p95_ci95,rejection_rate,rejection_rate_ci95,p99_slot_aoi,p99_slot_aoi_ci95,cvar95_slot_aoi,cvar95_slot_aoi_ci95
4.0,20,466.4081486486487,35.556133767150186,0.3341327957967293,0.00600515009840768,27.311972972972974,1.829869094363939,0.7764653607615243,0.03132842860629349,41.9,2.6945345053657097,27.65,2.4590981718339786,0.34170720720720726,0.05244159004736868,72.3,4.768237714628017,60.396013513513516,3.6432683030049255
8.0,20,458.6260675675676,36.61369947948559,0.3672937347794044,0.004013368185919024,25.61282432432433,1.9394734266441747,0.8008286214374966,0.02781035525151023,41.15,2.9920381952864354,28.254999999999974,2.462669018521458,0.21559909909909902,0.0413183730922858,70.95,5.10763554223164,59.17990990990991,4.09442713062581
12.0,20,457.45877027027035,36.61700571896476,0.38212600303566646,0.004001086439799098,26.00055405405405,2.1342485356401815,0.8096080459701493,0.026115267380559016,41.45,2.9462221487155023,28.614999999999963,2.3641018907631017,0.15028828828828825,0.03336839775768339,71.85,5.573468419185982,59.9164864864865,4.290881613343623
16.0,20,453.7189594594594,35.68687344806983,0.3897448038335763,0.0031340134657523947,25.94081081081081,1.76783076952548,0.8133460320883279,0.026294342485018815,40.8,2.798216156877367,28.75,2.433651228328679,0.10875675675675674,0.02565111571564242,70.8,5.119189954580139,58.84846846846848,3.881400414205971
24.0,20,445.0821486486487,33.434601387137484,0.3955769325098662,0.0031023765046534137,25.66432432432432,1.9225220169234416,0.8185654877475453,0.02479288879201756,39.65,2.5375432278671144,28.917499999999972,2.289991580843552,0.05795495495495492,0.015880669767220877,69.55,5.293835408078441,57.484549549549556,3.9375786930008507
28.0,20,444.56570270270265,35.37565767025385,0.3969355257905131,0.003703728533206094,25.288297297297298,1.566865682187766,0.8184431510383783,0.02448545587237209,39.55,2.772867130692556,29.189999999999962,2.2525113429760824,0.04081981981981976,0.013029524597256025,68.45,5.986724734112781,57.15932432432432,4.284804835142042
32.0,20,442.31083783783777,32.880688800005494,0.3981729986628225,0.003123844165572526,24.994054054054057,1.7059409255113258,0.8179377298106365,0.0250569573708562,39.3,2.4109257857520614,29.25,2.3664036465812064,0.029148648648648606,0.008448582368984766,66.3,4.194576755650491,55.919729729729724,3.2890026730511703
36.0,20,439.18945945945944,34.00274408931485,0.3986958106566501,0.0034722288322435436,24.80293243243243,2.0090729484959815,0.8183968106482089,0.024584644212048774,39.0,2.518046616966571,29.3,2.313316147404624,0.018599099099099053,0.006388571234084121,65.65,5.5982344670083455,55.21466216216216,4.004401424273729
48.0,20,441.0055135135135,31.986005281063992,0.4005933208368992,0.0031544425052559225,24.597675675675674,1.3240618542408138,0.8178530064505865,0.024504007520293754,39.15,2.243362301609468,29.765000000000008,2.459650123634992,0.006432432432432392,0.002599936488013191,63.95,3.8845789278611362,54.67189189189189,3.093706030012368
