good_fraction,extra_delay,seed,gain_vs_conservative_pct
0.2502378686964795,4,0,1.5229132352127988
0.2502378686964795,4,1,3.8693896246472375
0.2502378686964795,4,2,7.82760387549661
0.2502378686964795,4,3,3.5711238959563136
0.2502378686964795,4,4,4.809377330688005
0.2502378686964795,4,5,5.302618120616254
0.2502378686964795,4,6,14.29492271829967
0.2502378686964795,4,7,9.881402918564408
0.2502378686964795,4,8,3.154035864184719
0.2502378686964795,4,9,5.153292029083985
0.2502378686964795,4,10,15.60338533668472
0.2502378686964795,4,11,7.935621663304863
0.2502378686964795,4,12,9.564903450671158
0.2502378686964795,4,13,11.886909649257467
0.2502378686964795,4,14,6.552890463285032
0.2502378686964795,4,15,10.821789624378788
0.2502378686964795,4,16,16.341834501993215
0.2502378686964795,4,17,16.85647765356039
0.2502378686964795,4,18,11.548583657993035
0.2502378686964795,4,19,-5.650171759669034
0.2502378686964795,8,0,8.758499265200967
0.2502378686964795,8,1,11.194208831724163
0.2502378686964795,8,2,10.532097009208082
0.2502378686964795,8,3,16.90659509803897
0.2502378686964795,8,4,10.564674749870154
0.2502378686964795,8,5,5.727604661162751
0.2502378686964795,8,6,10.203212955968239
0.2502378686964795,8,7,17.75024226725132
0.2502378686964795,8,8,8.47152631934203
0.2502378686964795,8,9,14.290528279808331
0.2502378686964795,8,10,16.155687145711973
0.2502378686964795,8,11,12.73709415977088
0.2502378686964795,8,12,0.10416795059354891
0.2502378686964795,8,13,11.538737787838445
0.2502378686964795,8,14,5.472409373351243
0.2502378686964795,8,15,3.142409959730292
0.2502378686964795,8,16,17.696663391221342
0.2502378686964795,8,17,12.96278291763638
0.2502378686964795,8,18,9.955488820173592
0.2502378686964795,8,19,7.155942183612237
0.5004757373929591,4,0,18.105682910947106
0.5004757373929591,4,1,13.044381340310098
0.5004757373929591,4,2,14.587996868138301
0.5004757373929591,4,3,17.25360709273089
0.5004757373929591,4,4,17.562454030416383
0.5004757373929591,4,5,14.847086436138493
0.5004757373929591,4,6,17.194581132420364
0.5004757373929591,4,7,17.495361341522532
0.5004757373929591,4,8,21.8545285309607
0.5004757373929591,4,9,17.80393104862639
0.5004757373929591,4,10,13.6096996724074
0.5004757373929591,4,11,15.839312982048398
0.5004757373929591,4,12,17.204299777552645
0.5004757373929591,4,13,14.59010988924627
0.5004757373929591,4,14,13.173834981078734
0.5004757373929591,4,15,14.025734809216697
0.5004757373929591,4,16,12.460345876394975
0.5004757373929591,4,17,15.892365145834697
0.5004757373929591,4,18,15.707508606516752
0.5004757373929591,4,19,22.23474303384153
0.5004757373929591,8,0,27.663965795772377
0.5004757373929591,8,1,18.984483334760817
0.5004757373929591,8,2,23.70578558300158
0.5004757373929591,8,3,27.985889254884285
0.5004757373929591,8,4,24.00813022672295
0.5004757373929591,8,5,21.58733180767855
0.5004757373929591,8,6,25.928067785807624
0.5004757373929591,8,7,23.763538537540047
0.5004757373929591,8,8,22.001475292470598
0.5004757373929591,8,9,25.784690340110558
0.5004757373929591,8,10,23.499160087706915
0.5004757373929591,8,11,27.00801140700705
0.5004757373929591,8,12,21.775046005127578
0.5004757373929591,8,13,28.104084264987808
0.5004757373929591,8,14,23.422044682252146
0.5004757373929591,8,15,20.576239389613324
0.5004757373929591,8,16,17.78839793831272
0.5004757373929591,8,17,21.65338537671734
0.5004757373929591,8,18,26.738482954525374
0.5004757373929591,8,19,28.97863218984051
0.7497621313035204,4,0,28.237625556956985
0.7497621313035204,4,1,21.583597289577117
0.7497621313035204,4,2,23.098592271224323
0.7497621313035204,4,3,27.82899329205283
0.7497621313035204,4,4,26.318005594947252
0.7497621313035204,4,5,25.10507226319263
0.7497621313035204,4,6,29.279831653190957
0.7497621313035204,4,7,28.91652020765558
0.7497621313035204,4,8,22.287293037720975
0.7497621313035204,4,9,25.863355176413446
0.7497621313035204,4,10,27.58209803533083
0.7497621313035204,4,11,27.688565128768886
0.7497621313035204,4,12,25.277264305896484
0.7497621313035204,4,13,27.35601794850964
0.7497621313035204,4,14,23.078847411628892
0.7497621313035204,4,15,25.34841772536063
0.7497621313035204,4,16,27.075639907462396
0.7497621313035204,4,17,26.11177762661675
0.7497621313035204,4,18,26.99871740912654
0.7497621313035204,4,19,27.6465480234516
0.7497621313035204,8,0,39.53455620640865
0.7497621313035204,8,1,35.33049836227187
0.7497621313035204,8,2,35.98754926441985
0.7497621313035204,8,3,38.06430547386034
0.7497621313035204,8,4,38.45342329564374
0.7497621313035204,8,5,35.483447761684815
0.7497621313035204,8,6,38.316259615043776
0.7497621313035204,8,7,36.78550277025942
0.7497621313035204,8,8,34.42629881415841
0.7497621313035204,8,9,36.14205393500385
0.7497621313035204,8,10,36.56032961834303
0.7497621313035204,8,11,36.742598781981435
0.7497621313035204,8,12,36.518162719278
0.7497621313035204,8,13,37.316272585641755
0.7497621313035204,8,14,35.540966326460556
0.7497621313035204,8,15,36.77481806947686
0.7497621313035204,8,16,39.60935903680107
0.7497621313035204,8,17,36.60027380225263
0.7497621313035204,8,18,37.1762504181229
0.7497621313035204,8,19,36.503693959021234
