seed,effect,wAoI_effect,wAoI_effect_pct
0,Expected age,-184.4628378378378,-38.810608834895575
0,Bayesian belief,-15.51337837837832,-3.263983504798199
0,Safety shield,4.991216216216245,1.0501418196127372
0,Belief × age,19.942162162162163,4.195790675616352
0,Belief × shield,-11.155405405405432,-2.3470747856783856
0,Age × shield,-3.210000000000022,-0.6753775222168943
0,Three-way,-0.7474324324324613,-0.15725827546441695
1,Expected age,-170.90750000000003,-28.971926702863
1,Bayesian belief,-0.923851351351459,-0.15660959077685532
1,Safety shield,20.31763513513509,3.444208334395201
1,Belief × age,6.268445945945928,1.0626154878329162
1,Belief × shield,12.184391891891877,2.065475820609685
1,Age × shield,15.599662162162176,2.6444261881519995
1,Three-way,-9.244662162162186,-1.5671382154375542
2,Expected age,-165.5402027027027,-33.07987124207676
2,Bayesian belief,-1.3976351351351468,-0.27928919717891815
2,Safety shield,5.860878378378331,1.171178354000297
2,Belief × age,13.76655405405404,2.7509682126767294
2,Belief × shield,-3.040472972972921,-0.6075772097584635
2,Age × shield,2.332635135135135,0.4661300920574189
2,Three-way,3.4131756756756744,0.6820543290061846
3,Expected age,-174.6520945945946,-28.84178709550758
3,Bayesian belief,10.168445945945905,1.6792020373182845
3,Safety shield,-5.491824324324341,-0.9069116994889717
3,Belief × age,1.6807432432432279,0.27755543897916923
3,Belief × shield,9.630202702702661,1.5903173487993665
3,Age × shield,2.364256756756731,0.39042984383196355
3,Three-way,4.162770270270244,0.6874336900529722
4,Expected age,-175.32716216216218,-31.12138559166016
4,Bayesian belief,-0.6710810810811836,-0.11912000873132773
4,Safety shield,-2.3112162162162235,-0.4102516128335871
4,Belief × age,14.576351351351349,2.5873700648011884
4,Belief × shield,-8.171756756756793,-1.4505247780892168
4,Age × shield,8.800540540540567,1.5621368201002468
4,Three-way,4.591621621621641,0.8150341636472921
5,Expected age,-179.49567567567567,-34.61773623792598
5,Bayesian belief,-6.611216216216235,-1.275046534259696
5,Safety shield,-2.51418918918921,-0.48488933160071485
5,Belief × age,3.427162162162176,0.6609663175880504
5,Belief × shield,0.6124324324324562,0.11811440208624062
5,Age × shield,4.014459459459488,0.7742331294739273
5,Three-way,-12.118378378378395,-2.337163972084139
6,Expected age,-165.80364864864862,-41.16403637689165
6,Bayesian belief,4.501216216216221,1.1175159869805995
6,Safety shield,0.16108108108106478,0.03999156553726435
6,Belief × age,10.462297297297255,2.597472311628225
6,Belief × shield,-3.825405405405391,-0.9497325815679443
6,Age × shield,-1.6451351351351349,-0.4084373480291153
6,Three-way,-2.0191891891891913,-0.5013036680015647
7,Expected age,-161.49358108108106,-36.93427463691842
7,Bayesian belief,-0.7162837837837515,-0.16381717348231753
7,Safety shield,12.366283783783786,2.8282221401668326
7,Belief × age,5.176013513513453,1.183776490388959
7,Belief × shield,-8.298445945945929,-1.8978901797546135
7,Age × shield,4.955608108108095,1.1333688288571007
7,Three-way,-0.9807432432432677,-0.22430018612357375
8,Expected age,-184.41945945945943,-36.6295245932704
8,Bayesian belief,6.7129729729729775,1.3333354805842894
8,Safety shield,11.234324324324348,2.2313695112910557
8,Belief × age,4.824324324324294,0.9582107387241083
8,Belief × shield,-0.30567567567567266,-0.06071352075613236
8,Age × shield,0.9632432432432552,0.1913200601015566
8,Three-way,8.480540540540517,1.6844110117470685
9,Expected age,-191.8239864864865,-31.8683072157372
9,Bayesian belief,1.7166891891891964,0.28519884023403996
9,Safety shield,-3.9442567567567437,-0.6552714723761939
9,Belief × age,4.474932432432411,0.7434342500043319
9,Belief × shield,-7.806959459459421,-1.2969941196190569
9,Age × shield,18.09560810810811,3.00627887579325
9,Three-way,19.614797297297315,3.2586664352777306
10,Expected age,-167.79101351351352,-26.528139880341154
10,Bayesian belief,11.109797297297405,1.7564841559360707
10,Safety shield,5.828851351351318,0.9215546217432549
10,Belief × age,-0.34331081081080583,-0.054278218010101624
10,Belief × shield,3.2460135135135033,0.5132021002604451
10,Age × shield,12.906013513513528,2.0404700145427404
10,Three-way,1.0969594594594696,0.17343177905806353
11,Expected age,-173.2895945945946,-32.332964662991905
11,Bayesian belief,-7.165405405405522,-1.3369458236138931
11,Safety shield,12.409729729729747,2.3154497750850407
11,Belief × age,12.821621621621631,2.3923019716446174
11,Belief × shield,5.490945945945953,1.0245194563009674
11,Age × shield,2.6181081081081174,0.48849555647810866
11,Three-way,-5.568783783783772,-1.0390427060445064
12,Expected age,-178.80412162162162,-32.132229361838
12,Bayesian belief,1.3854729729729343,0.24897823908333547
12,Safety shield,10.350878378378383,1.860118184827822
12,Belief × age,5.9573648648648145,1.0705760722623279
12,Belief × shield,4.585067567567592,0.8239655852697694
12,Age × shield,6.466824324324335,1.1621291531054698
12,Three-way,-6.043040540540574,-1.085972532011559
13,Expected age,-160.66304054054052,-39.53697201292185
13,Bayesian belief,-5.4764189189189665,-1.3476716287695278
13,Safety shield,5.693310810810843,1.401045750351616
13,Belief × age,10.201283783783822,2.5103961066488205
13,Belief × shield,-2.960202702702688,-0.7284653086084191
13,Age × shield,4.0045270270270095,0.985459209908361
13,Three-way,2.5845270270270504,0.6360166743416272
14,Expected age,-188.53466216216214,-33.028098373158
14,Bayesian belief,-8.559662162162113,-1.499508688167511
14,Safety shield,3.08682432432434,0.5407596474580921
14,Belief × age,9.49506756756756,1.6633759653790712
14,Belief × shield,-0.2115540540540053,-0.03706070824539537
14,Age × shield,7.603986486486491,1.3320904009037091
14,Three-way,-7.235202702702708,-1.2674856913529542
15,Expected age,-171.23243243243246,-33.72843145305598
15,Bayesian belief,-12.3890540540541,-2.4403283565761176
15,Safety shield,16.30905405405406,3.2124685955355194
15,Belief × age,12.406486486486529,2.443762102123061
15,Belief × shield,-0.8631081081080936,-0.17001033184754788
15,Age × shield,11.204054054054097,2.2069135139314997
15,Three-way,1.529189189189168,0.301211353559865
16,Expected age,-164.19945945945946,-29.053654918446224
16,Bayesian belief,-0.28878378378374236,-0.05109775895558029
16,Safety shield,24.660270270270246,4.3634186433174325
16,Belief × age,8.071891891891909,1.4282505090946027
16,Belief × shield,10.605675675675684,1.8765813375537812
16,Age × shield,4.92554054054051,0.8715312195471229
16,Three-way,-1.3841891891891578,-0.2449201427150548
17,Expected age,-173.8513513513514,-35.53923362881682
17,Bayesian belief,15.47540540540541,3.1635304754798637
17,Safety shield,2.4399999999999835,0.4987923842999704
17,Belief × age,1.401081081081145,0.28641334960247916
17,Belief × shield,-3.679729729729715,-0.7522217891276158
17,Age × shield,9.148648648648631,1.870195193681223
17,Three-way,6.384594594594617,1.3051586723879398
18,Expected age,-177.9421621621621,-42.26962675909169
18,Bayesian belief,-7.097567567567523,-1.6860058815353005
18,Safety shield,8.335270270270271,1.9800184452035248
18,Belief × age,2.366756756756729,0.5622159668178875
18,Belief × shield,-5.579054054054055,-1.325287552248302
18,Age × shield,2.561486486486487,0.6084734298865585
18,Three-way,-2.003378378378372,-0.4758965232428488
19,Expected age,-182.800472972973,-31.756277445787468
19,Bayesian belief,-3.7707432432432597,-0.655057214359427
19,Safety shield,9.43939189189193,1.6398204171099504
19,Belief × age,13.076013513513544,2.271577891821955
19,Belief × shield,3.014797297297335,0.5237335432383663
19,Age × shield,-4.161689189189147,-0.7229727275080116
19,Three-way,-9.415202702702672,-1.63561824744053
