comparator,phase,mean_delta,ci95_halfwidth,paired_seeds,significant
Ji'24-style Greedy-Safe,pre,-7.753294117647059,5.946060319741642,20,True
Ji'24-style Greedy-Safe,post,2.920700000000008,8.662761655969147,20,False
Static-Geometry Safe,pre,0.5899117647058845,5.242753252434269,20,False
Static-Geometry Safe,post,14.436600000000004,6.427022218282239,20,True
Zhu'26-style Aggregate-DPP,pre,19.731588235294122,5.678574349867461,20,True
Zhu'26-style Aggregate-DPP,post,43.521325000000004,14.699678023423674,20,True
