extra_delay,baseline,freshsky_gain_pct,ci95_halfwidth,paired_seeds
2,Conservative-AoI Safe,15.948281608774527,1.8284388986597442,20
2,Ji'24-style Greedy-Safe,2.151429641799273,1.2520767799036545,20
2,Known-Transition Safe,-0.8682513396782381,1.4879313905109113,20
2,Max-Age-First Safe,4.012291084188373,2.234306211892711,20
2,Round-Robin Safe,2.7370457388530287,1.6439188283676558,20
2,Static-Geometry Safe,-0.9421938030022602,1.1850393544290792,20
2,Tripathi'24 Whittle-Safe,0.23165049127614784,2.016240470749401,20
2,Wang'26 PORMAB-Safe,-0.5234754044142395,2.256802473807197,20
2,Zhao'25 MMSE-MW-Safe,-0.11738679048438791,1.8270461136603875,20
2,Zhu'26-style Aggregate-DPP,-8.64913957752255,2.254091207462437,20
4,Conservative-AoI Safe,26.770534209192743,1.7918164486482202,20
4,Ji'24-style Greedy-Safe,1.1674582411240966,1.3030548834123803,20
4,Known-Transition Safe,-0.9570564049083045,1.6353916714995789,20
4,Max-Age-First Safe,0.9231998532677567,2.387103142599875,20
4,Round-Robin Safe,0.4936021517152195,1.6960526753738026,20
4,Static-Geometry Safe,-1.6216232934967896,1.5318225816131363,20
4,Tripathi'24 Whittle-Safe,-2.6122976467075327,2.82073974435945,20
4,Wang'26 PORMAB-Safe,-2.381216264072442,2.3379741124991096,20
4,Zhao'25 MMSE-MW-Safe,-2.1618057084547386,1.9839266332283536,20
4,Zhu'26-style Aggregate-DPP,-8.74910694698168,2.4378331694918294,20
8,Conservative-AoI Safe,41.08763882168844,1.9691735155737409,20
8,Ji'24-style Greedy-Safe,1.286887033031379,1.2785562939697266,20
8,Known-Transition Safe,-1.9482436084095276,1.268327476628327,20
8,Max-Age-First Safe,-0.20886822937029015,2.255330903014499,20
8,Round-Robin Safe,-0.9259659281896611,1.5151186701118577,20
8,Static-Geometry Safe,-0.41955658495972614,0.9785102565696108,20
8,Tripathi'24 Whittle-Safe,-3.3373685648987035,2.4834557781832847,20
8,Wang'26 PORMAB-Safe,-3.549052618779734,2.0973744656145317,20
8,Zhao'25 MMSE-MW-Safe,-3.2152185451962616,1.8302420430122777,20
8,Zhu'26-style Aggregate-DPP,-7.458102125019988,2.0559539607506134,20
