mean_dwell,extra_delay,gain_vs_conservative_pct,gain_ci95,gap_vs_true_aoi_pct,gap_ci95,paired_seeds
2.0,2,14.282425069543871,2.427183980433134,17.311875236816526,2.0113079784468133,10
2.0,4,23.505335478473626,3.840958282859073,28.319619570396082,3.1192099876320936,10
2.0,8,38.29008046318926,4.194026965562869,34.05715186218038,3.900559938866506,10
4.0,2,16.10538887367388,3.298671526706944,4.454621694643789,2.5382085608930773,10
4.0,4,25.713154297655223,4.247768147561249,9.24182415764066,4.964995997912466,10
4.0,8,39.80218568265838,4.209917111231656,13.139481662104497,5.158209822137467,10
8.0,2,16.92848865203334,3.3580239676255776,-2.9105308711511726,2.6208077705853756,10
8.0,4,27.089024280287248,2.749807283296057,-0.1959598642140273,2.0824824284677024,10
8.0,8,41.28045694037144,2.8591811545785437,1.9591574031972496,2.5156327814738457,10
14.0,2,15.156008929340894,2.464132662190962,-1.8806995576355212,2.3283373034644868,10
14.0,4,25.27476673099658,2.013048706282789,-3.257613810923208,2.502729581516494,10
14.0,8,39.57815553188682,3.4087008758048216,-4.611794499390656,2.5129724547918433,10
