seed,policy,rank
15,Tripathi'24 Whittle-Safe,1.0
16,Tripathi'24 Whittle-Safe,8.0
17,Tripathi'24 Whittle-Safe,1.0
18,Tripathi'24 Whittle-Safe,5.0
19,Tripathi'24 Whittle-Safe,1.0
0,Wang'26 PORMAB-Safe,3.0
1,Wang'26 PORMAB-Safe,3.0
2,Wang'26 PORMAB-Safe,8.0
3,Wang'26 PORMAB-Safe,4.0
4,Wang'26 PORMAB-Safe,2.0
5,Wang'26 PORMAB-Safe,1.0
6,Wang'26 PORMAB-Safe,1.0
7,Wang'26 PORMAB-Safe,2.0
8,Wang'26 PORMAB-Safe,2.0
9,Wang'26 PORMAB-Safe,2.0
10,Wang'26 PORMAB-Safe,8.0
11,Wang'26 PORMAB-Safe,1.0
12,Wang'26 PORMAB-Safe,2.0
13,Wang'26 PORMAB-Safe,2.0
14,Wang'26 PORMAB-Safe,2.0
15,Wang'26 PORMAB-Safe,6.0
16,Wang'26 PORMAB-Safe,5.0
17,Wang'26 PORMAB-Safe,4.0
18,Wang'26 PORMAB-Safe,2.0
19,Wang'26 PORMAB-Safe,9.0
0,Zhao'25 MMSE-MW-Safe,4.0
1,Zhao'25 MMSE-MW-Safe,4.0
2,Zhao'25 MMSE-MW-Safe,3.0
3,Zhao'25 MMSE-MW-Safe,2.0
4,Zhao'25 MMSE-MW-Safe,4.0
5,Zhao'25 MMSE-MW-Safe,3.0
6,Zhao'25 MMSE-MW-Safe,3.0
7,Zhao'25 MMSE-MW-Safe,4.0
8,Zhao'25 MMSE-MW-Safe,1.0
9,Zhao'25 MMSE-MW-Safe,3.0
10,Zhao'25 MMSE-MW-Safe,6.0
11,Zhao'25 MMSE-MW-Safe,3.0
12,Zhao'25 MMSE-MW-Safe,3.0
13,Zhao'25 MMSE-MW-Safe,4.0
14,Zhao'25 MMSE-MW-Safe,1.0
15,Zhao'25 MMSE-MW-Safe,8.0
16,Zhao'25 MMSE-MW-Safe,3.0
17,Zhao'25 MMSE-MW-Safe,5.0
18,Zhao'25 MMSE-MW-Safe,1.0
19,Zhao'25 MMSE-MW-Safe,6.0
