metric,label,qcap,mean,relative_risk,paired_vs_q4_significant
starvation_p95,Gap p95,28.0,29.189999999999962,0.7281323877068354,True
starvation_p95,Gap p95,32.0,29.25,0.7565011820330944,True
starvation_p95,Gap p95,36.0,29.3,0.7801418439716289,True
starvation_p95,Gap p95,48.0,29.765000000000008,1.0,True
starvation_max,Gap maximum,4.0,143.15,0.4408602150537638,False
starvation_max,Gap maximum,8.0,138.7,0.20161290322580622,False
starvation_max,Gap maximum,12.0,146.5,0.6209677419354838,False
starvation_max,Gap maximum,16.0,143.9,0.4811827956989251,False
starvation_max,Gap maximum,24.0,146.7,0.6317204301075261,False
starvation_max,Gap maximum,28.0,153.55,1.0,False
starvation_max,Gap maximum,32.0,141.8,0.3682795698924739,False
starvation_max,Gap maximum,36.0,136.7,0.09408602150537623,False
starvation_max,Gap maximum,48.0,134.95,0.0,False
worst_service_rate,Worst service,4.0,0.03299999999999996,1.0,False
worst_service_rate,Worst service,8.0,0.03672972972972969,0.46198830409356734,True
worst_service_rate,Worst service,12.0,0.037986486486486434,0.2807017543859667,True
worst_service_rate,Worst service,16.0,0.038013513513513474,0.27680311890838205,True
worst_service_rate,Worst service,24.0,0.03993243243243239,0.0,True
worst_service_rate,Worst service,28.0,0.03954054054054048,0.056530214424954296,True
worst_service_rate,Worst service,32.0,0.03945945945945941,0.0682261208577011,True
worst_service_rate,Worst service,36.0,0.03913513513513508,0.11500974658869638,True
worst_service_rate,Worst service,48.0,0.03906756756756753,0.1247563352826504,True
