adaptive_belief,age_estimator,label,seed,aoi_cost_pct,power_reduction_pct
False,conservative,Static / cons.,0,3.23107432493945,-2.748021270915933
False,conservative,Static / cons.,1,-2.431365085407061,6.836240063331093
False,conservative,Static / cons.,2,1.704013819246162,1.9161676646706363
False,conservative,Static / cons.,3,-1.9162355846001438,-0.9970787653318712
False,conservative,Static / cons.,4,0.25107232657891176,4.589707927677337
False,conservative,Static / cons.,5,-3.0918794991380976,7.042253521126752
False,conservative,Static / cons.,6,0.7419801087600881,2.1044174020553026
False,conservative,Static / cons.,7,2.86781677547828,6.099815157116655
False,conservative,Static / cons.,8,3.256494677576451,4.156479217603907
False,conservative,Static / cons.,9,0.7726749422133187,9.927022292313206
False,conservative,Static / cons.,10,-1.2898674539051052,6.197932631826376
False,conservative,Static / cons.,11,-0.20026163764679558,1.2552301255230554
False,conservative,Static / cons.,12,-1.03512059260686,4.967320261438134
False,conservative,Static / cons.,13,1.4734753516047918,9.726443768997083
False,conservative,Static / cons.,14,-1.697437128719175,4.700162074554344
False,conservative,Static / cons.,15,1.245511735154085,7.71704180064308
False,conservative,Static / cons.,16,1.1959943205294874,3.6363636363636287
False,conservative,Static / cons.,17,0.5914208724505826,3.14136125654454
False,conservative,Static / cons.,18,1.8332351170540222,5.247376311843883
False,conservative,Static / cons.,19,0.17352594058628615,0.46146796631943143
False,expected,Static / exp.,0,3.6588194741029803,1.3173652694610711
False,expected,Static / exp.,1,6.7954011568394,0.522193211488286
False,expected,Static / exp.,2,1.9189310167608635,2.2889897635375993
False,expected,Static / exp.,3,-3.2491894671995607,1.4895051289778471
False,expected,Static / exp.,4,2.1714777962213554,1.0911837009443104
False,expected,Static / exp.,5,3.068597237286871,0.6993006993007362
False,expected,Static / exp.,6,1.4056112936781378,2.7502750275029038
False,expected,Static / exp.,7,7.801620819541147,1.766004415011041
False,expected,Static / exp.,8,0.9969957498400887,1.0928961748633657
False,expected,Static / exp.,9,0.46707022913427143,3.041230483086802
False,expected,Static / exp.,10,2.684917720507373,0.27359781121751586
False,expected,Static / exp.,11,3.441496226675338,1.5873015873016472
False,expected,Static / exp.,12,4.023244620055659,-0.8674101610904986
False,expected,Static / exp.,13,3.1615001348675933,1.8421052631579191
False,expected,Static / exp.,14,3.883620437719649,1.0086455331412334
False,expected,Static / exp.,15,6.569987089400623,1.0427856011979368
False,expected,Static / exp.,16,4.342203535171897,1.6336169099771718
False,expected,Static / exp.,17,2.2815456482657432,2.697791250347376
False,expected,Static / exp.,18,5.683734857131455,0.6738544474393223
False,expected,Static / exp.,19,2.4650683571687764,0.563425406866908
True,conservative,Bayes / cons.,0,-0.40057537636422796,-0.30394836953175286
True,conservative,Bayes / cons.,1,3.969541572602179,3.2487828825675598
True,conservative,Bayes / cons.,2,-0.5069354711048176,3.1825795644891905
True,conservative,Bayes / cons.,3,-0.34205817775646613,1.9580419580419715
True,conservative,Bayes / cons.,4,-3.6431511620282313,1.4982428186205337
True,conservative,Bayes / cons.,5,1.033460466804562,4.097727835744821
True,conservative,Bayes / cons.,6,0.0,0.0
True,conservative,Bayes / cons.,7,0.018053004460782476,4.17391304347839
True,conservative,Bayes / cons.,8,0.24918699002617697,0.629921259842536
True,conservative,Bayes / cons.,9,-6.858326656438333,3.377045628769498
True,conservative,Bayes / cons.,10,-0.6801254468522006,3.8408779149520473
True,conservative,Bayes / cons.,11,3.4626505007490818,4.866562009419178
True,conservative,Bayes / cons.,12,2.2806264194186534,3.9889958734527204
True,conservative,Bayes / cons.,13,-0.8020151847158881,5.059523809523872
True,conservative,Bayes / cons.,14,0.3827761465330255,-1.2359305679359935
True,conservative,Bayes / cons.,15,0.4680770692602027,4.758432311810773
True,conservative,Bayes / cons.,16,5.057997561943566,3.1654676258993626
True,conservative,Bayes / cons.,17,-2.835519750861714,2.9079159935379666
True,conservative,Bayes / cons.,18,0.4360380955648806,3.091190108191531
True,conservative,Bayes / cons.,19,4.032094323753961,4.402515723270445
True,expected,Bayes / exp.,0,-2.593070098058914,1.3189448441247207
True,expected,Bayes / exp.,1,7.967447685759873,1.923076923076971
True,expected,Bayes / exp.,2,2.0417286958381466,1.6881307326370902
True,expected,Bayes / exp.,3,2.0557118648570576,0.4495239577660786
True,expected,Bayes / exp.,4,0.6045696569387348,0.31912496238544036
True,expected,Bayes / exp.,5,-2.3152132039884097,0.1422475106685631
True,expected,Bayes / exp.,6,-2.213879939713493,1.4348785871965377
True,expected,Bayes / exp.,7,2.2674178501056774,0.0
True,expected,Bayes / exp.,8,5.007420319585263,0.6144393241167595
True,expected,Bayes / exp.,9,5.232321867683267,1.4376677208820776
True,expected,Bayes / exp.,10,4.254365073829084,0.4087193460490752
True,expected,Bayes / exp.,11,3.3621071109036555,1.3530135301353752
True,expected,Bayes / exp.,12,3.3170567140762617,0.7330595979848652
True,expected,Bayes / exp.,13,2.879598198706652,2.2049286640726637
True,expected,Bayes / exp.,14,0.6823705312348238,0.5772005772005903
True,expected,Bayes / exp.,15,6.906956839717645,2.880184331797213
True,expected,Bayes / exp.,16,8.30018162626609,0.4404367263195523
True,expected,Bayes / exp.,17,3.5419673503557982,1.8978102189781163
True,expected,Bayes / exp.,18,1.010539674168324,0.13477088948786728
True,expected,Bayes / exp.,19,-0.22938072174856425,1.2718600953895127
