good_fraction,extra_delay,seed,age_mae_reduction_pct,wAoI_gain_pct
0.2502378686964795,4,0,-124.79536069547446,1.5229132352127988
0.2502378686964795,4,1,-117.64288589061591,3.8693896246472375
0.2502378686964795,4,2,-115.60806008759764,7.82760387549661
0.2502378686964795,4,3,-111.7496643667235,3.5711238959563136
0.2502378686964795,4,4,-109.95881053721033,4.809377330688005
0.2502378686964795,4,5,-105.85006682232597,5.302618120616254
0.2502378686964795,4,6,-105.34990056958274,14.29492271829967
0.2502378686964795,4,7,-118.06932260053722,9.881402918564408
0.2502378686964795,4,8,-114.64403939876588,3.154035864184719
0.2502378686964795,4,9,-114.42441721401215,5.153292029083985
0.2502378686964795,4,10,-107.89394918649829,15.60338533668472
0.2502378686964795,4,11,-107.58548995701202,7.935621663304863
0.2502378686964795,4,12,-115.06503649434141,9.564903450671158
0.2502378686964795,4,13,-99.89470020561129,11.886909649257467
0.2502378686964795,4,14,-111.99470162801308,6.552890463285032
0.2502378686964795,4,15,-100.4462478377699,10.821789624378788
0.2502378686964795,4,16,-109.8384609333142,16.341834501993215
0.2502378686964795,4,17,-103.55049685483174,16.85647765356039
0.2502378686964795,4,18,-109.22187094061341,11.548583657993035
0.2502378686964795,4,19,-115.22256834047718,-5.650171759669034
0.2502378686964795,8,0,-105.48754007822372,8.758499265200967
0.2502378686964795,8,1,-116.59059472506569,11.194208831724163
0.2502378686964795,8,2,-106.85676636330102,10.532097009208082
0.2502378686964795,8,3,-99.00362066888921,16.90659509803897
0.2502378686964795,8,4,-92.39928064623697,10.564674749870154
0.2502378686964795,8,5,-97.71819768834,5.727604661162751
0.2502378686964795,8,6,-92.79090034073847,10.203212955968239
0.2502378686964795,8,7,-100.13912105120698,17.75024226725132
0.2502378686964795,8,8,-101.90011799740626,8.47152631934203
0.2502378686964795,8,9,-107.6446604580996,14.290528279808331
0.2502378686964795,8,10,-95.57993608734769,16.155687145711973
0.2502378686964795,8,11,-93.86579797107137,12.73709415977088
