N,M,grid_size,retained_models,extra_delay,repeats,expected_age_median_us,decision_median_us,accounting_median_us,filter_update_median_us,total_median_us,total_p95_us,state_memory_kib,delay_history_kib,total_memory_kib,within_100ms_p95,total_p95_ms,expected_age_median_ms,decision_median_ms,accounting_median_ms,filter_update_median_ms
100,25,12,144,0,1000,15.0,65.1,13.3,555.2,653.6,848.4149999999998,230.375,0.0,230.375,True,0.8484149999999998,0.015,0.06509999999999999,0.013300000000000001,0.5552
100,25,12,144,4,1000,49.7,116.15,92.1,687.85,948.75,1184.2149999999997,230.375,3.515625,233.890625,True,1.1842149999999998,0.0497,0.11615,0.09209999999999999,0.6878500000000001
100,25,12,144,8,1000,75.8,112.15,88.95,629.5,907.4,1123.805,230.375,7.03125,237.40625,True,1.1238050000000002,0.07579999999999999,0.11215,0.08895,0.6295
100,25,20,400,0,1000,17.8,95.4,15.0,740.0,870.25,1057.665,634.375,0.0,634.375,True,1.0576649999999999,0.0178,0.09540000000000001,0.015,0.74
100,25,20,400,4,1000,51.0,177.6,155.55,540.95,923.65,1180.1749999999995,634.375,3.515625,637.890625,True,1.1801749999999995,0.051,0.1776,0.15555000000000002,0.54095
100,25,20,400,8,1000,78.4,173.15,147.2,853.0,1251.1,1622.81,634.375,7.03125,641.40625,True,1.6228099999999999,0.07840000000000001,0.17315,0.1472,0.853
200,50,6,36,0,1000,17.1,77.5,16.6,1155.55,1266.4499999999998,1557.7099999999998,119.3125,0.0,119.3125,True,1.5577099999999997,0.0171,0.0775,0.0166,1.1555499999999999
200,50,6,36,4,1000,49.95,111.1,76.6,825.6,1063.85,1356.5499999999995,119.3125,7.03125,126.34375,True,1.3565499999999995,0.04995,0.11109999999999999,0.07659999999999999,0.8256
200,50,6,36,8,1000,81.3,112.35,77.9,942.0,1215.3000000000002,1540.48,119.3125,14.0625,133.375,True,1.54048,0.0813,0.11234999999999999,0.07790000000000001,0.942
200,50,12,144,0,1000,19.9,101.6,17.6,1413.95,1551.9,1891.41,458.5,0.0,458.5,True,1.89141,0.019899999999999998,0.1016,0.0176,1.41395
200,50,12,144,4,1000,53.0,159.8,124.85,1165.2,1507.95,1899.39,458.5,7.03125,465.53125,True,1.8993900000000001,0.053,0.1598,0.12484999999999999,1.1652
200,50,12,144,8,1000,83.3,158.5,124.9,1186.2,1549.4,1897.02,458.5,14.0625,472.5625,True,1.89702,0.0833,0.1585,0.12490000000000001,1.1862000000000001
200,50,20,400,0,1000,27.3,266.0,19.2,1728.4,2020.6,2648.04,1262.5,0.0,1262.5,True,2.64804,0.0273,0.266,0.0192,1.7284000000000002
200,50,20,400,4,1000,64.85,356.55,247.5,1694.25,2373.25,3074.365,1262.5,7.03125,1269.53125,True,3.074365,0.06484999999999999,0.35655000000000003,0.2475,1.69425
200,50,20,400,8,1000,97.5,355.35,253.35,1553.25,2266.0,2931.46,1262.5,14.0625,1276.5625,True,2.93146,0.0975,0.35535,0.25335,1.55325
500,125,6,36,0,1000,22.8,148.3,24.3,2433.4,2637.95,3180.025,297.4375,0.0,297.4375,True,3.180025,0.0228,0.14830000000000002,0.024300000000000002,2.4334000000000002
500,125,6,36,4,1000,58.2,194.65,118.25,2381.0,2753.55,3295.2899999999995,297.4375,17.578125,315.015625,True,3.2952899999999996,0.0582,0.19465000000000002,0.11825,2.381
500,125,6,36,8,1000,90.2,193.2,115.9,2442.6,2841.85,3330.645,297.4375,35.15625,332.59375,True,3.330645,0.0902,0.19319999999999998,0.1159,2.4426
500,125,12,144,0,1000,35.05,243.1,28.55,3125.45,3450.75,4282.55,1142.875,0.0,1142.875,True,4.2825500000000005,0.03505,0.24309999999999998,0.02855,3.12545
500,125,12,144,4,1000,74.1,355.7,245.3,3155.25,3840.75,4581.59,1142.875,17.578125,1160.453125,True,4.58159,0.0741,0.3557,0.24530000000000002,3.15525
500,125,12,144,8,1000,108.3,352.55,244.65,2911.8,3639.95,4365.035,1142.875,35.15625,1178.03125,True,4.365035,0.1083,0.35255000000000003,0.24465,2.9118000000000004
500,125,20,400,0,1000,60.3,927.2,31.95,5378.9,6433.5,7280.87,3146.875,0.0,3146.875,True,7.28087,0.0603,0.9272,0.03195,5.3789
500,125,20,400,4,1000,114.55,1837.05,1694.5,5285.95,8973.7,10261.63,3146.875,17.578125,3164.453125,True,10.261629999999998,0.11455,1.8370499999999998,1.6945,5.28595
500,125,20,400,8,1000,148.9,1807.9,1671.8,5062.65,8748.25,9935.645,3146.875,35.15625,3182.03125,True,9.935645000000001,0.1489,1.8079,1.6718,5.06265
