policy,extra_delay,seed,uav,pi_los,pth,mean_aoi,avg_power,service_rate,max_queue
FreshSky-Safe,2,4,2,0.3640876,1.27608378,12.47189189,0.3124680824,0.08324324324,22.60418902
FreshSky-Safe,2,4,3,0.2460798207,1.842501298,17.02864865,0.3899131125,0.05135135135,23.99257917
FreshSky-Safe,2,4,4,0.2372011855,1.908996959,20.69783784,0.386958843,0.04648648649,23.9979331
FreshSky-Safe,2,4,5,0.4128728207,1.13470463,12.12405405,0.3256908966,0.09162162162,19.9434593
FreshSky-Safe,2,4,6,0.5024050881,0.9393093506,10.54459459,0.2619911486,0.1089189189,12.40411506
FreshSky-Safe,2,4,7,0.4159209977,1.126874486,11.74891892,0.289637199,0.09054054054,19.83622637
FreshSky-Safe,2,4,8,0.2309431598,1.959226317,19.5872973,0.3891976603,0.04405405405,23.99497405
FreshSky-Safe,2,4,9,0.4380235493,1.072981387,13.42108108,0.285645045,0.08837837838,16.08136717
FreshSky-Safe,2,4,10,0.7287104513,0.6151471375,7.63,0.1597719998,0.1518918919,2.796912787
FreshSky-Safe,2,4,11,0.5641011845,0.8344446437,9.12,0.2253000538,0.1259459459,8.392226805
FreshSky-Safe,2,5,0,0.9411489522,0.3546353857,5.067297297,0.08453740815,0.2018918919,0.3546353857
FreshSky-Safe,2,5,1,0.4821824971,0.9781203331,10.41864865,0.2783677597,0.1121621622,12.76548966
FreshSky-Safe,2,5,2,0.3825098869,1.218803669,12.29945946,0.3383003698,0.08675675676,21.82907886
FreshSky-Safe,2,5,3,0.7544254172,0.5851252029,7.351351351,0.15434654,0.1667567568,2.776878043
FreshSky-Safe,2,5,4,0.3523107703,1.315645181,13.19486486,0.3498905021,0.08594594595,23.8067747
FreshSky-Safe,2,5,5,0.8677360717,0.4538598372,6.287297297,0.1115023222,0.1754054054,0.7770188607
FreshSky-Safe,2,5,6,0.95,0.2241414152,4.746756757,0.0554295662,0.2056756757,0.2241414152
FreshSky-Safe,2,5,7,0.2189202535,2.064668323,22.64459459,0.3906129259,0.04351351351,23.99666572
FreshSky-Safe,2,5,8,0.8265150398,0.5023771293,6.339189189,0.1353702697,0.1789189189,1.935656939
FreshSky-Safe,2,5,9,0.3376263363,1.368663091,13.5827027,0.373977942,0.07702702703,23.89668264
FreshSky-Safe,2,5,10,0.2625732011,1.731770293,19.01918919,0.3777131423,0.05,23.9770293
FreshSky-Safe,2,5,11,0.2699141276,1.687095206,19.15837838,0.3825602372,0.0527027027,23.98047262
FreshSky-Safe,2,6,0,0.6600953202,0.6992694381,8.360540541,0.1937165335,0.1354054054,6.382466515
