good_fraction,extra_delay,metric,effect_type,mean_effect,ci95,paired_seeds
0.2502378686964795,4,cvar95_slot_aoi,gain_vs_conservative_pct,0.0,0.0,20
0.2502378686964795,4,oracle_gap,expected_gap_vs_oracle_pct,0.11681947713650491,1.3433317056140404,20
0.2502378686964795,4,p99_slot_aoi,gain_vs_conservative_pct,0.0,0.0,20
0.2502378686964795,4,wAoI,gain_vs_conservative_pct,7.784928797531334,1.0622476736223456,20
0.2502378686964795,8,cvar95_slot_aoi,gain_vs_conservative_pct,0.0,0.0,20
0.2502378686964795,8,oracle_gap,expected_gap_vs_oracle_pct,1.547457628882426,1.1862019602749585,20
0.2502378686964795,8,p99_slot_aoi,gain_vs_conservative_pct,0.0,0.0,20
0.2502378686964795,8,wAoI,gain_vs_conservative_pct,11.16939585223101,1.144261874261015,20
0.5004757373929591,4,cvar95_slot_aoi,gain_vs_conservative_pct,7.320108740765169,0.9138083749658128,20
0.5004757373929591,4,oracle_gap,expected_gap_vs_oracle_pct,0.5399493596988597,1.2426547629677671,20
0.5004757373929591,4,p99_slot_aoi,gain_vs_conservative_pct,0.04166666666666667,0.0872093356003443,20
0.5004757373929591,4,wAoI,gain_vs_conservative_pct,16.551244458968647,0.7077272518229979,20
0.5004757373929591,8,cvar95_slot_aoi,gain_vs_conservative_pct,8.6590269281656,0.9056608428367873,20
0.5004757373929591,8,oracle_gap,expected_gap_vs_oracle_pct,1.8180932295936654,1.362231208747402,20
0.5004757373929591,8,p99_slot_aoi,gain_vs_conservative_pct,0.125,0.2616280068010329,20
0.5004757373929591,8,wAoI,gain_vs_conservative_pct,23.310159952156788,1.2234395130107816,20
0.7497621313035204,4,cvar95_slot_aoi,gain_vs_conservative_pct,12.972058491351351,1.6870148179106752,20
0.7497621313035204,4,oracle_gap,expected_gap_vs_oracle_pct,1.5852395942268855,0.8362222451351464,20
0.7497621313035204,4,p99_slot_aoi,gain_vs_conservative_pct,10.034253175725386,1.859854208638317,20
0.7497621313035204,4,wAoI,gain_vs_conservative_pct,26.288838030293086,0.9708722784512468,20
0.7497621313035204,8,cvar95_slot_aoi,gain_vs_conservative_pct,17.286623431432503,1.747855338448279,20
0.7497621313035204,8,oracle_gap,expected_gap_vs_oracle_pct,2.940818596215996,1.0002623691067516,20
0.7497621313035204,8,p99_slot_aoi,gain_vs_conservative_pct,13.617467925663016,1.8233486281311708,20
0.7497621313035204,8,wAoI,gain_vs_conservative_pct,36.639155168643136,0.7371158451581061,20
