good_fraction,extra_delay,seed,metric,effect_type,effect
0.2502378686964795,4,3,oracle_gap,expected_gap_vs_oracle_pct,-2.0769077894616026
0.2502378686964795,4,4,oracle_gap,expected_gap_vs_oracle_pct,6.33057669993142
0.2502378686964795,4,5,oracle_gap,expected_gap_vs_oracle_pct,-1.3698680768220128
0.2502378686964795,4,6,oracle_gap,expected_gap_vs_oracle_pct,-0.39820038805708263
0.2502378686964795,4,7,oracle_gap,expected_gap_vs_oracle_pct,1.5213793187167706
0.2502378686964795,4,8,oracle_gap,expected_gap_vs_oracle_pct,1.2446695569033916
0.2502378686964795,4,9,oracle_gap,expected_gap_vs_oracle_pct,4.555295829390332
0.2502378686964795,4,10,oracle_gap,expected_gap_vs_oracle_pct,-4.31371216285208
0.2502378686964795,4,11,oracle_gap,expected_gap_vs_oracle_pct,7.136843397963868
0.2502378686964795,4,12,oracle_gap,expected_gap_vs_oracle_pct,-0.6158618064230261
0.2502378686964795,4,13,oracle_gap,expected_gap_vs_oracle_pct,-6.675900313548254
0.2502378686964795,4,14,oracle_gap,expected_gap_vs_oracle_pct,2.529884953581162
0.2502378686964795,4,15,oracle_gap,expected_gap_vs_oracle_pct,-9.599906917742604
0.2502378686964795,4,16,oracle_gap,expected_gap_vs_oracle_pct,-3.540683343611618
0.2502378686964795,4,17,oracle_gap,expected_gap_vs_oracle_pct,-8.773670379168063
0.2502378686964795,4,18,oracle_gap,expected_gap_vs_oracle_pct,6.761125960646526
0.2502378686964795,4,19,oracle_gap,expected_gap_vs_oracle_pct,0.18391147993649842
0.2502378686964795,8,0,wAoI,gain_vs_conservative_pct,8.758499265200967
0.2502378686964795,8,1,wAoI,gain_vs_conservative_pct,11.194208831724163
0.2502378686964795,8,2,wAoI,gain_vs_conservative_pct,10.532097009208082
0.2502378686964795,8,3,wAoI,gain_vs_conservative_pct,16.90659509803897
0.2502378686964795,8,4,wAoI,gain_vs_conservative_pct,10.564674749870154
0.2502378686964795,8,5,wAoI,gain_vs_conservative_pct,5.727604661162751
0.2502378686964795,8,6,wAoI,gain_vs_conservative_pct,10.203212955968239
0.2502378686964795,8,7,wAoI,gain_vs_conservative_pct,17.75024226725132
0.2502378686964795,8,8,wAoI,gain_vs_conservative_pct,8.47152631934203
0.2502378686964795,8,9,wAoI,gain_vs_conservative_pct,14.290528279808331
0.2502378686964795,8,10,wAoI,gain_vs_conservative_pct,16.155687145711973
0.2502378686964795,8,11,wAoI,gain_vs_conservative_pct,12.73709415977088
0.2502378686964795,8,12,wAoI,gain_vs_conservative_pct,0.10416795059354891
0.2502378686964795,8,13,wAoI,gain_vs_conservative_pct,11.538737787838445
0.2502378686964795,8,14,wAoI,gain_vs_conservative_pct,5.472409373351243
0.2502378686964795,8,15,wAoI,gain_vs_conservative_pct,3.142409959730292
0.2502378686964795,8,16,wAoI,gain_vs_conservative_pct,17.696663391221342
0.2502378686964795,8,17,wAoI,gain_vs_conservative_pct,12.96278291763638
0.2502378686964795,8,18,wAoI,gain_vs_conservative_pct,9.955488820173592
0.2502378686964795,8,19,wAoI,gain_vs_conservative_pct,7.155942183612237
0.2502378686964795,8,0,p99_slot_aoi,gain_vs_conservative_pct,5.352112676056338
0.2502378686964795,8,1,p99_slot_aoi,gain_vs_conservative_pct,6.5610859728506785
0.2502378686964795,8,2,p99_slot_aoi,gain_vs_conservative_pct,1.0869565217391304
