dwell,delay,method,seeds,wAoI,wAoI_ci95,worst_user_mean_aoi,worst_user_mean_aoi_ci95,certificate_all_seeds
2.0,2,Bayesian ensemble,20,267.9155405405405,15.584903917155264,13.636783783783784,0.6329303309891096,True
2.0,2,Known transition,20,263.93148648648645,15.087125206974246,13.103905405405408,0.5656002979748896,True
2.0,2,Static geometry,20,266.49598648648646,14.633760900162837,13.59856756756757,0.4921648716857695,True
2.0,4,Bayesian ensemble,20,288.3435270270271,17.116745203237247,14.575756756756757,0.7598636265559406,True
2.0,4,Known transition,20,286.2671891891892,17.451058220952884,14.557689189189187,0.6908088250526137,True
2.0,4,Static geometry,20,285.8861351351351,16.2946420969997,14.908094594594592,0.7355603723645763,True
2.0,8,Bayesian ensemble,20,304.2497567567567,18.910278358088622,15.874432432432432,0.7743914639845454,True
2.0,8,Known transition,20,303.7357702702702,18.959196233709598,15.097756756756755,0.6802646465325661,True
2.0,8,Static geometry,20,305.1030810810811,19.29174269129454,15.83939189189189,0.6388000018229901,True
8.0,2,Bayesian ensemble,20,436.08428378378386,32.65843379061765,24.64918918918919,1.742447456444219,True
8.0,2,Known transition,20,433.875554054054,33.01033402695895,23.698513513513515,1.7197129903361452,True
8.0,2,Static geometry,20,434.1498513513514,34.43400629165509,24.252094594594592,1.7871478664207945,True
8.0,4,Bayesian ensemble,20,445.0821486486487,33.43460138061576,25.66432432432432,1.9225220165484362,True
8.0,4,Known transition,20,442.7261081081081,33.239790083932114,25.507986486486484,1.806814770411705,True
8.0,4,Static geometry,20,438.62655405405405,31.160340016085694,24.8272972972973,1.5288496348247926,True
8.0,8,Bayesian ensemble,20,454.2743243243243,34.14620389328089,25.712445945945944,1.7511444321748053,True
8.0,8,Known transition,20,446.70856756756757,35.46292750214775,25.3225,1.8563944853591399,True
8.0,8,Static geometry,20,450.4172702702702,34.26116337088182,25.451337837837837,1.7493654203321973,True
14.0,2,Bayesian ensemble,20,550.5822297297298,44.988029138163526,29.78937837837838,1.7564472479510427,True
14.0,2,Known transition,20,544.0036351351351,44.71022512876032,28.793067567567572,1.8975880256484559,True
14.0,2,Static geometry,20,549.381810810811,46.72988782430123,28.8357027027027,1.8992067222864017,True
14.0,4,Bayesian ensemble,20,550.1018513513515,44.92505879574697,29.63260810810811,1.864324438601307,True
14.0,4,Known transition,20,542.0955540540541,44.005013681134024,28.441175675675673,1.6810465307208833,True
14.0,4,Static geometry,20,544.4510675675676,46.095677072597546,28.642770270270272,1.809410157829371,True
14.0,8,Bayesian ensemble,20,553.9803243243243,43.84603409974849,29.908540540540542,1.8196972520988217,True
14.0,8,Known transition,20,541.0155135135135,43.10076767688911,29.14551351351351,1.7988211932367477,True
14.0,8,Static geometry,20,542.9281216216216,42.976674289692085,29.44495945945946,1.6628739471487084,True
